% Model,COMSOL_Custom_NoFlange.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 10 2025, 18:34"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.2141151746790357
0,0,0.29883671480326274
0,0.4,0.3817795477985531
0.2,-0.4,0.37579452409684927
0.2,0,0.447149303392248
0.2,0.4,0.516347770950868
0.4,-0.4,0.30368373697751366
0.4,0,0.3626466199349647
0.4,0.4,0.4190628796211049
0.6000000000000001,-0.4,0.2400698657319679
0.6000000000000001,0,0.2898177882848069
0.6000000000000001,0.4,0.3365386388096987
0.8,-0.4,0.1861140486354043
0.8,0,0.2290665829070584
0.8,0.4,0.2683434103310436
1,-0.4,0.14533271915286408
1,0,0.183945562580778
1,0.4,0.21776827399123228
1.2000000000000002,-0.4,0.11278005663851727
1.2000000000000002,0,0.14754339007664735
1.2000000000000002,0.4,0.17724188552194878
1.4000000000000001,-0.4,0.08564799150627167
1.4000000000000001,0,0.1183993730879275
1.4000000000000001,0.4,0.14414919389227204
1.6,-0.4,0.0581720232470402
1.6,0,0.09358401973581379
1.6,0.4,0.11649672572948323
1.8000000000000003,-0.4,0.037620062872088904
1.8000000000000003,0,0.07435058917195128
1.8000000000000003,0.4,0.09564848588960762
2,-0.4,0.023393306882589053
2,0,0.05759185668310019
2,0.4,0.07905293505924671
2.2,-0.4,0.01384005901052023
2.2,0,0.044311835763836294
2.2,0.4,0.06581554188204976
2.4000000000000004,-0.4,0.010904804288926333
2.4000000000000004,0,0.037530592669068163
2.4000000000000004,0.4,0.058574065708185664
2.6000000000000005,-0.4,0.003979566795557044
2.6000000000000005,0,0.02720501478462787
2.6000000000000005,0.4,0.04713965966048674
2.8000000000000003,-0.4,0.002899777659877839
2.8000000000000003,0,0.02319697451594991
2.8000000000000003,0.4,0.041508437143018245
3,-0.4,-8.144287616187948E-4
3,0,0.016984194340774146
3,0.4,0.03356324427699029
3.2,-0.4,-0.001745001056081318
3.2,0,0.013913408528641298
3.2,0.4,0.02883879412485306
3.4000000000000004,-0.4,-0.0015183650164814176
3.4000000000000004,0,0.01231139701564711
3.4000000000000004,0.4,0.02569510070228042
3.6000000000000005,-0.4,-0.001974921629870034
3.6000000000000005,0,0.010283522094996757
3.6000000000000005,0.4,0.0222629209561036
3.8000000000000003,-0.4,-0.002396185686960149
3.8000000000000003,0,0.008508771409435074
3.8000000000000003,0.4,0.019229036159400748
4,-0.4,-0.0032280470560046865
4,0,0.006504584109692556
4,0.4,0.01611107213532515
4.2,-0.4,-0.002755493375615139
4.2,0,0.005959930513928078
4.2,0.4,0.014585511061081963
4.4,-0.4,-0.0020682501115917417
4.4,0,0.005758782889622824
4.4,0.4,0.013521603643630817
4.6000000000000005,-0.4,-0.0013403222298778474
4.6000000000000005,0,0.0057096837137446226
4.6000000000000005,0.4,0.01271352415195014
4.800000000000001,-0.4,-0.0020025849636141346
4.800000000000001,0,0.004365262455226834
4.800000000000001,0.4,0.01069961614828511
5,-0.4,-0.00125894314423417
5,0,0.00450767265745519
5,0.4,0.010249742909092807
