% Model,COMSOL_Custom_RailGun.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 14 2025, 10:55"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.05189277852347174
0,0,0.0010021214016313618
0,0.4,-0.049893671200195056
0.2,-0.4,0.05047255307774101
0.2,0,-9.757688384475216E-4
0.2,0.4,-0.052427961078689744
0.4,-0.4,0.052133965656299464
0.4,0,6.98430983426368E-4
0.4,0.4,-0.050740001100744725
0.6000000000000001,-0.4,0.05033598740781409
0.6000000000000001,0,-8.639213358869746E-4
0.6000000000000001,0.4,-0.05206654391657306
0.8,-0.4,0.05108496754753622
0.8,0,1.7383479330024265E-4
0.8,0.4,-0.050740191835158766
1,-0.4,0.05143899461062662
1,0,8.140602654882478E-4
1,0.4,-0.04981389719958029
1.2000000000000002,-0.4,0.050669380750364645
1.2000000000000002,0,2.955340338390844E-4
1.2000000000000002,0.4,-0.050081307664324504
1.4000000000000001,-0.4,0.050356872638797956
1.4000000000000001,0,1.8329871352351645E-4
1.4000000000000001,0.4,-0.049993078069738406
1.6,-0.4,0.0496120560089397
1.6,0,-4.1476452310984513E-4
1.6,0.4,-0.050444050452028266
1.8000000000000003,-0.4,0.04918239420539949
1.8000000000000003,0,-7.54083292675789E-4
1.8000000000000003,0.4,-0.0506926374983061
2,-0.4,0.049747540424348036
2,0,-1.5386354810842384E-4
2,0.4,-0.05005694657945414
2.2,-0.4,0.049674850822105765
2.2,0,-2.519822220208301E-4
2.2,0.4,-0.0501801356451409
2.4000000000000004,-0.4,0.050027666006498106
2.4000000000000004,0,1.8587761473565223E-5
2.4000000000000004,0.4,-0.04999150124148155
2.6000000000000005,-0.4,0.05058073933088725
2.6000000000000005,0,4.252698133100363E-4
2.6000000000000005,0.4,-0.049730950926053064
2.8000000000000003,-0.4,0.04990447257326125
2.8000000000000003,0,-4.5924242324146825E-4
2.8000000000000003,0.4,-0.05082350720963935
3,-0.4,0.04979900517662372
3,0,-8.38227165291805E-4
3,0.4,-0.05147587804464859
3.2,-0.4,0.05020578631587813
3.2,0,-7.676089819259602E-4
3.2,0.4,-0.05174137011064639
3.4000000000000004,-0.4,0.05080221405200824
3.4000000000000004,0,-5.504329350358717E-4
3.4000000000000004,0.4,-0.05190346930544254
3.6000000000000005,-0.4,0.05190599569496268
3.6000000000000005,0,1.9079988049930385E-4
3.6000000000000005,0.4,-0.051524936061040805
3.8000000000000003,-0.4,0.051687156060821304
3.8000000000000003,0,-2.3856522099285904E-4
3.8000000000000003,0.4,-0.05216510497715854
4,-0.4,0.05058627570529517
4,0,-0.0010413961065818267
4,0.4,-0.0526702865064792
4.2,-0.4,0.05040922532662806
4.2,0,2.9022739952999643E-4
4.2,0.4,-0.04983051329580235
4.4,-0.4,0.04719414505725872
4.4,0,4.843642854377439E-4
4.4,0.4,-0.04622791640888102
4.6000000000000005,-0.4,0.04081834426728381
4.6000000000000005,0,-2.575497000893989E-4
4.6000000000000005,0.4,-0.041336577791534435
4.800000000000001,-0.4,0.03298460499814615
4.800000000000001,0,-3.039544441327813E-4
4.800000000000001,0.4,-0.033595870602741496
5,-0.4,0.023453738031020688
5,0,-5.976375388305755E-4
5,0.4,-0.02465229308177075
