% Model,COMSOL_Inductor04_MediumMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 14:08"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.24,-0.028129758168616778
0,0,-0.02756431637286793
0,0.24,-0.027003267946421418
0.05,-0.24,0.04697368616254911
0.05,0,0.04772280777704625
0.05,0.24,0.04846182793965491
0.1,-0.24,0.044453043349504874
0.1,0,0.04516664429782574
0.1,0.24,0.04587609456841411
0.15000000000000002,-0.24,0.04273270081641818
0.15000000000000002,0,0.043412318743071804
0.15000000000000002,0.24,0.04406644391186728
0.2,-0.24,0.039240882444897214
0.2,0,0.0398909296300649
0.2,0.24,0.04052490076347903
0.25,-0.24,0.03679679463700616
0.25,0,0.037403333204621386
0.25,0.24,0.03800445467571259
0.30000000000000004,-0.24,0.03427729761646473
0.30000000000000004,0,0.03484698114238333
0.30000000000000004,0.24,0.03541218773389304
0.35000000000000003,-0.24,0.030375512701846467
0.35000000000000003,0,0.030907890531199307
0.35000000000000003,0.24,0.03143531779808288
0.4,-0.24,0.028912179257400864
0.4,0,0.029412129614759967
0.4,0.24,0.029906318219850576
0.45000000000000007,-0.24,0.0258739412832203
0.45000000000000007,0,0.02633609646784074
0.45000000000000007,0.24,0.026793694182261015
0.5,-0.24,0.023847951318176065
0.5,0,0.02428218826908134
0.5,0.24,0.024707711974148935
0.55,-0.24,0.020546801054992472
0.55,0,0.020951974324520343
0.55,0.24,0.0213489909633295
0.6000000000000001,-0.24,0.018929497395443595
0.6000000000000001,0,0.019311016146533598
0.6000000000000001,0.24,0.019681812180411092
0.6500000000000001,-0.24,0.016551911415248897
0.6500000000000001,0,0.016908504881265645
0.6500000000000001,0.24,0.01725570709780959
0.7000000000000001,-0.24,0.01487282753083718
0.7000000000000001,0,0.015203106328218644
0.7000000000000001,0.24,0.015526257192695557
0.75,-0.24,0.013773884782103916
0.75,0,0.014078712647460483
0.75,0.24,0.014375804776173139
0.8,-0.24,0.011944348998500175
0.8,0,0.012225458275859366
0.8,0.24,0.012498420892249583
0.8500000000000001,-0.24,0.01072047695228252
0.8500000000000001,0,0.010980942629476806
0.8500000000000001,0.24,0.011232035582472545
0.9000000000000001,-0.24,0.009004518370570874
0.9000000000000001,0,0.009247607014986375
0.9000000000000001,0.24,0.009479128093015135
0.9500000000000001,-0.24,0.008500046169772285
0.9500000000000001,0,0.008727000751675585
0.9500000000000001,0.24,0.008940771494026506
1,-0.24,0.00710068314517471
1,0,0.007319086924272166
1,0.24,0.007512074552787034
1.05,-0.24,0.0070876865130950865
1.05,0,0.007314464515202092
1.05,0.24,0.007494017129133443
1.1,-0.24,0.005864632773627267
1.1,0,0.006141812163034049
1.1,0.24,0.006308837177092382
1.1500000000000001,-0.24,0.005026179004706286
1.1500000000000001,0,0.00534525467505264
1.1500000000000001,0.24,0.005506365910326489
1.2000000000000002,-0.24,0.004696824405277907
1.2000000000000002,0,0.005055485177140335
1.2000000000000002,0.24,0.005218106664230137
1.25,-0.24,0.004244394342543407
1.25,0,0.004637398734984335
1.25,0.24,0.0047754203615307175
1.3000000000000003,-0.24,0.0031431055560100975
1.3000000000000003,0,0.0035510467945845826
1.3000000000000003,0.24,0.003655152863954751
1.35,-0.24,0.003232371517323565
1.35,0,0.0036371820944288234
1.35,0.24,0.003712289923696954
1.4000000000000001,-0.24,0.0029463292278155548
1.4000000000000001,0,0.003338677362737837
1.4000000000000001,0.24,0.003393756477342604
1.4500000000000002,-0.24,0.0027861450570080843
1.4500000000000002,0,0.00316005763483697
1.4500000000000002,0.24,0.003202795716133055
