% Model,COMSOL_Inductor11_BigMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 10 2025, 14:43"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,2.372301378562078
0,0,2.5800292294859974
0,0.35,2.68393537558092
0.2,-0.35,4.032913934754857
0.2,0,4.32883141976529
0.2,0.35,4.448082335600106
0.4,-0.35,3.1823841045343766
0.4,0,3.4719183036490744
0.4,0.35,3.580816054514082
0.6000000000000001,-0.35,2.5543187123416407
0.6000000000000001,0,2.8176171410127537
0.6000000000000001,0.35,2.8752458657803777
0.8,-0.35,2.0605693976807067
0.8,0,2.264467681039994
0.8,0.35,2.3047321441960884
1,-0.35,1.6635848064506953
1,0,1.8122563237432947
1,0.35,1.8529389187114538
1.2000000000000002,-0.35,1.3372870990307089
1.2000000000000002,0,1.4505847551766984
1.2000000000000002,0.35,1.4946465224746026
1.4000000000000001,-0.35,1.0602110870038877
1.4000000000000001,0,1.1586156802200496
1.4000000000000001,0.35,1.2059544390259
1.6,-0.35,0.8439432796146099
1.6,0,0.9344057496391583
1.6,0.35,0.9840956369276566
1.8000000000000003,-0.35,0.6655434093970019
1.8000000000000003,0,0.7518021752870074
1.8000000000000003,0.35,0.8031689992735268
2,-0.35,0.5271116293263328
2,0,0.6103187319782304
2,0.35,0.6628811732779188
2.2,-0.35,0.4208373133967722
2.2,0,0.5011607131112569
2.2,0.35,0.5544236954820164
2.4000000000000004,-0.35,0.33154249681460035
2.4000000000000004,0,0.4090142416596273
2.4000000000000004,0.35,0.4625370976650237
2.6000000000000005,-0.35,0.2695056103709944
2.6000000000000005,0,0.3440639875784801
2.6000000000000005,0.35,0.39739023855661915
2.8000000000000003,-0.35,0.2134604930799078
2.8000000000000003,0,0.2850349093291097
2.8000000000000003,0.35,0.3378079976721316
3,-0.35,0.16345063609012064
3,0,0.2320236195727503
3,0.35,0.28399426293777386
3.2,-0.35,0.13423897370553287
3.2,0,0.1998245098777913
3.2,0.35,0.2507877085617085
3.4000000000000004,-0.35,0.10619774523567937
3.4000000000000004,0,0.16881802875329782
3.4000000000000004,0.35,0.2185967498170555
3.6000000000000005,-0.35,0.08079502504519576
3.6000000000000005,0,0.14054112397349386
3.6000000000000005,0.35,0.1890337114359496
3.8000000000000003,-0.35,0.058480925224486405
3.8000000000000003,0,0.11542051909144976
3.8000000000000003,0.35,0.1625206015270081
4,-0.35,0.04922220147321864
4,0,0.10341818162998227
4,0.35,0.1490326864789766
4.2,-0.35,0.03460984490799231
4.2,0,0.08617913608212108
4.2,0.35,0.13027145994207992
4.4,-0.35,0.02921241200896416
4.4,0,0.07823899049549454
4.4,0.35,0.12076256187708768
4.6000000000000005,-0.35,0.01561303341539265
4.6000000000000005,0,0.06221512784416292
4.6000000000000005,0.35,0.10315804763371891
4.800000000000001,-0.35,0.01352714721818413
4.800000000000001,0,0.05780695842637754
4.800000000000001,0.35,0.09716527681588666
5,-0.35,0.009110121022197971
5,0,0.051178847347796326
5,0.35,0.08896158867758867
