% Model,COMSOL_Inductor11_Design4.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 5 2024, 13:07"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,-0.0014480552254792344
0,0,0
0,0.35,-0.001448055225479171
0.05,-0.35,0.04028557336388676
0.05,0,0
0.05,0.35,0.04028557336388673
0.1,-0.35,0.036163978030375625
0.1,0,0
0.1,0.35,0.03616397803037569
0.15000000000000002,-0.35,0.03308814523174363
0.15000000000000002,0,0
0.15000000000000002,0.35,0.033088145231743624
0.2,-0.35,0.030541771317769088
0.2,0,0
0.2,0.35,0.03054177131776905
0.25,-0.35,0.028353434850109854
0.25,0,0
0.25,0.35,0.02835343485010989
0.30000000000000004,-0.35,0.026437972888460923
0.30000000000000004,0,0
0.30000000000000004,0.35,0.02643797288846091
0.35000000000000003,-0.35,0.024739996317391415
0.35000000000000003,0,0
0.35000000000000003,0.35,0.024739996317391422
0.4,-0.35,0.023218744942868578
0.4,0,0
0.4,0.35,0.023218744942868547
0.45000000000000007,-0.35,0.02184741547996775
0.45000000000000007,0,0
0.45000000000000007,0.35,0.02184741547996773
0.5,-0.35,0.02060336370954645
0.5,0,0
0.5,0.35,0.02060336370954647
0.55,-0.35,0.019467514074694034
0.55,0,0
0.55,0.35,0.019467514074694048
0.6000000000000001,-0.35,0.018428360026842457
0.6000000000000001,0,0
0.6000000000000001,0.35,0.01842836002684248
0.6500000000000001,-0.35,0.017472565597937858
0.6500000000000001,0,0
0.6500000000000001,0.35,0.017472565597937827
0.7000000000000001,-0.35,0.016591685248521223
0.7000000000000001,0,0
0.7000000000000001,0.35,0.016591685248521244
0.75,-0.35,0.015776565285081836
0.75,0,0
0.75,0.35,0.015776565285081888
0.8,-0.35,0.015020239058042114
0.8,0,0
0.8,0.35,0.01502023905804213
0.8500000000000001,-0.35,0.014316235897685834
0.8500000000000001,0,0
0.8500000000000001,0.35,0.014316235897685808
0.9000000000000001,-0.35,0.013660416902361161
0.9000000000000001,0,0
0.9000000000000001,0.35,0.013660416902361165
0.9500000000000001,-0.35,0.013047987201364212
0.9500000000000001,0,0
0.9500000000000001,0.35,0.013047987201364164
1,-0.35,0.012474025430820861
1,0,0
1,0.35,0.012474025430820908
1.05,-0.35,0.01193624652443549
1.05,0,0
1.05,0.35,0.011936246524435517
1.1,-0.35,0.011431864176324186
1.1,0,0
1.1,0.35,0.011431864176324205
1.1500000000000001,-0.35,0.010956868463972154
1.1500000000000001,0,0
1.1500000000000001,0.35,0.010956868463972147
1.2000000000000002,-0.35,0.01050941509822356
1.2000000000000002,0,0
1.2000000000000002,0.35,0.010509415098223585
1.25,-0.35,0.010087707102009994
1.25,0,0
1.25,0.35,0.010087707102009968
1.3000000000000003,-0.35,0.009689019080463554
1.3000000000000003,0,0
1.3000000000000003,0.35,0.009689019080463528
1.35,-0.35,0.009312048705150528
1.35,0,0
1.35,0.35,0.009312048705150521
1.4000000000000001,-0.35,0.008955199458868546
1.4000000000000001,0,0
1.4000000000000001,0.35,0.008955199458868548
1.4500000000000002,-0.35,0.008617199637955332
1.4500000000000002,0,0
1.4500000000000002,0.35,0.008617199637955342
