% Model,COMSOL_Inductor11_Iron.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 4 2024, 14:17"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,-0.010373176333882855
0,0,0
0,0.35,-0.010373176333882891
0.05,-0.35,1.2788193260666422E-4
0.05,0,0
0.05,0.35,1.2788193260653284E-4
0.1,-0.35,-5.124981143948016E-5
0.1,0,0
0.1,0.35,-5.12498114395157E-5
0.15000000000000002,-0.35,-3.8570031420602534E-5
0.15000000000000002,0,0
0.15000000000000002,0.35,-3.8570031420662674E-5
0.2,-0.35,6.241511129580308E-6
0.2,0,0
0.2,0.35,6.241511129522625E-6
0.25,-0.35,7.011430000873788E-5
0.25,0,0
0.25,0.35,7.011430000863888E-5
0.30000000000000004,-0.35,1.3299239521993598E-4
0.30000000000000004,0,0
0.30000000000000004,0.35,1.3299239521982748E-4
0.35000000000000003,-0.35,1.8720585853522904E-4
0.35000000000000003,0,0
0.35000000000000003,0.35,1.8720585853526707E-4
0.4,-0.35,2.377025591793023E-4
0.4,0,0
0.4,0.35,2.3770255917922436E-4
0.45000000000000007,-0.35,2.8402449723895137E-4
0.45000000000000007,0,0
0.45000000000000007,0.35,2.8402449723899056E-4
0.5,-0.35,3.293889982354248E-4
0.5,0,0
0.5,0.35,3.2938899823542847E-4
0.55,-0.35,3.625865027037093E-4
0.55,0,0
0.55,0.35,3.625865027036269E-4
0.6000000000000001,-0.35,3.889062514294112E-4
0.6000000000000001,0,0
0.6000000000000001,0.35,3.8890625142946525E-4
0.6500000000000001,-0.35,4.172683455288905E-4
0.6500000000000001,0,0
0.6500000000000001,0.35,4.1726834552885324E-4
0.7000000000000001,-0.35,4.3791781261235015E-4
0.7000000000000001,0,0
0.7000000000000001,0.35,4.3791781261228206E-4
0.75,-0.35,4.554969085416325E-4
0.75,0,0
0.75,0.35,4.554969085415927E-4
0.8,-0.35,4.7388162286273887E-4
0.8,0,0
0.8,0.35,4.7388162286266845E-4
0.8500000000000001,-0.35,4.8737081372604834E-4
0.8500000000000001,0,0
0.8500000000000001,0.35,4.8737081372605E-4
0.9000000000000001,-0.35,4.96298815511163E-4
0.9000000000000001,0,0
0.9000000000000001,0.35,4.962988155111368E-4
0.9500000000000001,-0.35,5.028526322075116E-4
0.9500000000000001,0,0
0.9500000000000001,0.35,5.028526322075332E-4
1,-0.35,5.119009031229354E-4
1,0,0
1,0.35,5.119009031229112E-4
1.05,-0.35,5.153347001114865E-4
1.05,0,0
1.05,0.35,5.153347001114874E-4
1.1,-0.35,5.187638049290634E-4
1.1,0,0
1.1,0.35,5.187638049291511E-4
1.1500000000000001,-0.35,5.227959625667777E-4
1.1500000000000001,0,0
1.1500000000000001,0.35,5.227959625667504E-4
1.2000000000000002,-0.35,5.212185885490379E-4
1.2000000000000002,0,0
1.2000000000000002,0.35,5.212185885490327E-4
1.25,-0.35,5.220513718951507E-4
1.25,0,0
1.25,0.35,5.220513718951391E-4
1.3000000000000003,-0.35,5.197787128824983E-4
1.3000000000000003,0,0
1.3000000000000003,0.35,5.197787128825616E-4
1.35,-0.35,5.179641460898055E-4
1.35,0,0
1.35,0.35,5.179641460898414E-4
1.4000000000000001,-0.35,5.163832734727536E-4
1.4000000000000001,0,0
1.4000000000000001,0.35,5.163832734727255E-4
1.4500000000000002,-0.35,5.12015485128973E-4
1.4500000000000002,0,0
1.4500000000000002,0.35,5.120154851289834E-4
