% Model,COMSOL_Inductor12_Magnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 16:02"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.12910238142508526
0,0,0.12789478571578353
0,0.4,0.12627951549070682
0.05,-0.4,0.1324597729855696
0.05,0,0.13191716828848649
0.05,0.4,0.13103002913483539
0.1,-0.4,0.10303445397767563
0.1,0,0.10282910937718642
0.1,0.4,0.10237151565420531
0.15000000000000002,-0.4,0.07949062580545399
0.15000000000000002,0,0.07958567149100217
0.15000000000000002,0.4,0.0794781184128547
0.2,-0.4,0.06139616352377221
0.2,0,0.06173737455933588
0.2,0.4,0.061906026941470564
0.25,-0.4,0.04719091570743506
0.25,0,0.04774870196718582
0.25,0.4,0.04812501531585175
0.30000000000000004,-0.4,0.0364958282536448
0.30000000000000004,0,0.037173285492519956
0.30000000000000004,0.4,0.03771513981441368
0.35000000000000003,-0.4,0.027871564881483936
0.35000000000000003,0,0.028623534550036037
0.35000000000000003,0.4,0.029268499852118456
0.4,-0.4,0.021177489393050773
0.4,0,0.021968548825279897
0.4,0.4,0.022666613376693623
0.45000000000000007,-0.4,0.016451068203474015
0.45000000000000007,0,0.01726799305226514
0.45000000000000007,0.4,0.01800107815658089
0.5,-0.4,0.012733986424818603
0.5,0,0.013574758865172478
0.5,0.4,0.014337640936899945
0.55,-0.4,0.010499165748201502
0.55,0,0.011362101040956672
0.55,0.4,0.012151097396793794
0.6000000000000001,-0.4,0.008163448540952033
0.6000000000000001,0,0.009046172625333672
0.6000000000000001,0.4,0.009857495797669962
0.6500000000000001,-0.4,0.006374239229997628
0.6500000000000001,0,0.007275101187829525
0.6500000000000001,0.4,0.008106180383553046
0.7000000000000001,-0.4,0.004960107170401069
0.7000000000000001,0,0.005876314170238919
0.7000000000000001,0.4,0.006723967775597578
0.75,-0.4,0.0044450988248592276
0.75,0,0.005374002371190495
0.75,0.4,0.006235393589556195
0.8,-0.4,0.003310601809882029
0.8,0,0.004249774259748833
0.8,0.4,0.0051223919419531
0.8500000000000001,-0.4,0.002649191954239892
0.8500000000000001,0,0.003595681652315256
0.8500000000000001,0.4,0.004476621431501324
0.9000000000000001,-0.4,0.0019963437669038944
0.9000000000000001,0,0.0029480749027838526
0.9000000000000001,0.4,0.003835302003697752
0.9500000000000001,-0.4,0.001412436960547225
0.9500000000000001,0,0.002366687252350245
0.9500000000000001,0.4,0.003257600676707294
1,-0.4,0.001115871448756869
1,0,0.002070817074182666
1,0.4,0.00296367313254988
1.05,-0.4,9.274325900559032E-4
1.05,0,0.0018805558458689507
1.05,0.4,0.002772975800532094
1.1,-0.4,7.656275078798407E-4
1.1,0,0.001715036106218404
1.1,0.4,0.0026052247265013445
1.1500000000000001,-0.4,1.3918790064080177E-4
1.1500000000000001,0,0.0010834872441700867
1.1500000000000001,0.4,0.0019701129141544366
1.2000000000000002,-0.4,2.1182832718363506E-4
1.2000000000000002,0,0.001148667129843065
1.2000000000000002,0.4,0.0020294874927248006
1.25,-0.4,-1.2384797788289603E-4
1.25,0,8.047214853988283E-4
1.25,0.4,0.001678946188468226
1.3000000000000003,-0.4,3.045489072868064E-4
1.3000000000000003,0,0.0012232571167923394
1.3000000000000003,0.4,0.002089350521738574
1.35,-0.4,2.8575383137052724E-4
1.35,0,0.0011936038104689538
1.35,0.4,0.002050585725342923
1.4000000000000001,-0.4,6.259239767301538E-5
1.4000000000000001,0,9.582021580261902E-4
1.4000000000000001,0.4,0.0018047254620168424
1.4500000000000002,-0.4,-8.270481331567811E-5
1.4500000000000002,0,7.997805411877508E-4
1.4500000000000002,0.4,0.001634965716188986
