% Model,COMSOL_Inductor12_Magnet3x4.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 28 2025, 13:55"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,1.0107879511198663
0,0,1.039506702001786
0,0.4,1.0671015424790564
0.1,-0.4,1.5795545892239304
0.1,0,1.6085944196654047
0.1,0.4,1.6360528969783046
0.2,-0.4,1.350904710051397
0.2,0,1.3769534847320266
0.2,0.4,1.4011762353354928
0.30000000000000004,-0.4,1.1622379784801522
0.30000000000000004,0,1.1857202993016194
0.30000000000000004,0.4,1.2072416724766992
0.4,-0.4,1.0005478917199848
0.4,0,1.021256593898365
0.4,0.4,1.0400813915357214
0.5,-0.4,0.8645689813019568
0.5,0,0.8818959295281154
0.5,0.4,0.8966073515490132
0.6000000000000001,-0.4,0.7436780733029738
0.6000000000000001,0,0.7564190544081651
0.6000000000000001,0.4,0.7679437592870758
0.7000000000000001,-0.4,0.6344756577236546
0.7000000000000001,0,0.6453819010063238
0.7000000000000001,0.4,0.6555972908652157
0.8,-0.4,0.5388451230233854
0.8,0,0.549003528459609
0.8,0.4,0.5587003392451723
0.9000000000000001,-0.4,0.45702851376233383
0.9000000000000001,0,0.4668418704929773
0.9000000000000001,0.4,0.4762185316922268
1,-0.4,0.3870993408413135
1,0,0.3966270721223635
1,0.4,0.40570176221543297
1.1,-0.4,0.32622156525069423
1.1,0,0.3354770553515564
1.1,0.4,0.34424601185315024
1.2000000000000002,-0.4,0.2784366680312474
1.2000000000000002,0,0.28746163967466853
1.2000000000000002,0.4,0.2959071800039625
1.3000000000000003,-0.4,0.23146729108150305
1.3000000000000003,0,0.24039986260567808
1.3000000000000003,0.4,0.24850758643089205
1.4000000000000001,-0.4,0.19796634977820418
1.4000000000000001,0,0.20706632588228002
1.4000000000000001,0.4,0.21480278335251352
1.5,-0.4,0.16796752844155602
1.5,0,0.1774244807769524
1.5,0.4,0.18479502519517682
1.6,-0.4,0.14375759278479433
1.6,0,0.15366858947792203
1.6,0.4,0.16068271737727224
1.7000000000000002,-0.4,0.12085005401515982
1.7000000000000002,0,0.13140723157475057
1.7000000000000002,0.4,0.13808485469123907
