% Model,COMSOL_Inductor24_Design5.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 12 2024, 11:31"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.29,-0.3848112033309876
0,0,-0.3042209443095869
0,0.29,-0.17289951306276308
0.05,-0.29,-0.35533469697537345
0.05,0,-0.27345252054864133
0.05,0.29,-0.13501911570142777
0.1,-0.29,-0.31733436006396776
0.1,0,-0.23458196406211762
0.1,0.29,-0.09485383773795775
0.15000000000000002,-0.29,-0.28226048558873984
0.15000000000000002,0,-0.19955624580499265
0.15000000000000002,0.29,-0.06532076393875919
0.2,-0.29,-0.24536508912647026
0.2,0,-0.1635009280887827
0.2,0.29,-0.03925204075604771
0.25,-0.29,-0.21502682268847906
0.25,0,-0.13422575568151718
0.25,0.29,-0.019669130017042846
0.30000000000000004,-0.29,-0.17532450091295715
0.30000000000000004,0,-0.0955902614771551
0.30000000000000004,0.29,0.010628468089043608
0.35000000000000003,-0.29,-0.1534531847589724
0.35000000000000003,0,-0.07451405005404954
0.35000000000000003,0.29,0.024875264869644198
0.4,-0.29,-0.13234792821918617
0.4,0,-0.05326377266129967
0.4,0.29,0.040469791682339995
0.45000000000000007,-0.29,-0.10774572744824429
0.45000000000000007,0,-0.026822168434682325
0.45000000000000007,0.29,0.061724453621494035
0.5,-0.29,-0.08718805110659833
0.5,0,-0.0030060999461278826
0.5,0.29,0.08120319655601094
0.55,-0.29,-0.0736105199625916
0.55,0,0.014931581310871245
0.55,0.29,0.09584657824090659
0.6000000000000001,-0.29,-0.04361366716768522
0.6000000000000001,0,0.050138211557643864
0.6000000000000001,0.29,0.12926593152600052
0.6500000000000001,-0.29,-0.03204787949963084
0.6500000000000001,0,0.0673879289550543
0.6500000000000001,0.29,0.14635600992341136
0.7000000000000001,-0.29,-0.010855178990670566
0.7000000000000001,0,0.09536210564563063
0.7000000000000001,0.29,0.1751060369256967
0.75,-0.29,0.008912754956190483
0.75,0,0.1234238439587747
0.75,0.29,0.20420898717381775
0.8,-0.29,0.03429862177654286
0.8,0,0.1585144972244743
0.8,0.29,0.24038036685150566
0.8500000000000001,-0.29,0.05707242815763358
0.8500000000000001,0,0.19131139930479613
0.8500000000000001,0.29,0.27401636721983724
0.9000000000000001,-0.29,0.08229187151664696
0.9000000000000001,0,0.22197393353925854
0.9000000000000001,0.29,0.30470392164919335
0.9500000000000001,-0.29,0.12026583166546345
0.9500000000000001,0,0.25866234988998293
0.9500000000000001,0.29,0.34054327310392907
1,-0.29,0.1605132775530178
1,0,0.29184546238711384
1,0.29,0.3724604237379783
1.05,-0.29,0.19760600935334516
1.05,0,0.3190756024818837
1.05,0.29,0.3973066961521621
1.1,-0.29,0.23457442593729816
1.1,0,0.3464373596912882
1.1,0.29,0.4210371928896075
1.1500000000000001,-0.29,0.260470254819122
1.1500000000000001,0,0.3637715302902711
1.1500000000000001,0.29,0.4341066604671493
1.2000000000000002,-0.29,0.27942564774045664
1.2000000000000002,0,0.3753620925442398
1.2000000000000002,0.29,0.4408217909028993
1.25,-0.29,0.29568018971610677
1.25,0,0.38449802183929194
1.25,0.29,0.4446605832280879
1.3000000000000003,-0.29,0.3033486903660645
1.3000000000000003,0,0.384900286060736
1.3000000000000003,0.29,0.43947108251931954
1.35,-0.29,0.30558861772366175
1.35,0,0.37957998256003656
1.35,0.29,0.4285376643481609
1.4000000000000001,-0.29,0.30299910819215903
1.4000000000000001,0,0.36915000806170184
1.4000000000000001,0.29,0.41278380715653906
1.4500000000000002,-0.29,0.2954428727929592
1.4500000000000002,0,0.35352498851265324
1.4500000000000002,0.29,0.3924388576623601
