% Model,COMSOL_Inductor32_Magnet3x4.mph
% Version,COMSOL 6.2.0.290
% Date,"Mar 13 2025, 10:12"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.7942150828512102
0,0,0.8171188104514902
0,0.4,0.8396453442001459
0.2,-0.4,1.4100418751573875
0.2,0,1.4328755287802335
0.2,0.4,1.4550640478321857
0.4,-0.4,1.1108695023003676
0.4,0,1.1309809603361658
0.4,0.4,1.1498553417246118
0.6000000000000001,-0.4,0.8788296081153784
0.6000000000000001,0,0.8965962211062918
0.6000000000000001,0.4,0.9125102315079412
0.8,-0.4,0.6952844560919007
0.8,0,0.7113995734769895
0.8,0.4,0.7241912394468892
1,-0.4,0.539791116965786
1,0,0.5518273329663981
1,0.4,0.5591090051427653
1.2000000000000002,-0.4,0.4011306726758951
1.2000000000000002,0,0.4135500498133363
1.2000000000000002,0.4,0.4188959937161068
1.4000000000000001,-0.4,0.2888168877977865
1.4000000000000001,0,0.3054039355619508
1.4000000000000001,0.4,0.3102685799805744
1.6,-0.4,0.20632389388691957
1.6,0,0.22712336267987376
1.6,0.4,0.23160069755136764
1.8000000000000003,-0.4,0.14508313484975177
1.8000000000000003,0,0.1684464713890804
1.8000000000000003,0.4,0.1726823635489583
2,-0.4,0.10304379045482212
2,0,0.12747643748429346
2,0.4,0.1316141112797761
2.2,-0.4,0.07355188461222563
2.2,0,0.09799752918654983
2.2,0.4,0.10207949486126691
2.4000000000000004,-0.4,0.05312295354209318
2.4000000000000004,0,0.0767247437953271
2.4000000000000004,0.4,0.08075151822777087
2.6000000000000005,-0.4,0.03800368977715983
2.6000000000000005,0,0.06001187801378738
2.6000000000000005,0.4,0.06402340777513044
2.8000000000000003,-0.4,0.029512290597903012
2.8000000000000003,0,0.04936353106227109
2.8000000000000003,0.4,0.05343648785522379
3,-0.4,0.022622753424077723
3,0,0.040065681839825035
3,0.4,0.04423824585728128
3.2,-0.4,0.020557475582867184
3.2,0,0.03559988588128267
3.2,0.4,0.03983503572846013
3.4000000000000004,-0.4,0.019259063305458148
3.4000000000000004,0,0.032055257566976046
3.4000000000000004,0.4,0.03628705509615361
3.6000000000000005,-0.4,0.020256786594344274
3.6000000000000005,0,0.031080482208443526
3.6000000000000005,0.4,0.035206090111380706
3.8000000000000003,-0.4,0.02242484183158255
3.8000000000000003,0,0.03153699348593656
3.8000000000000003,0.4,0.035480529186717506
4,-0.4,0.029189738229592196
4,0,0.03684762603134199
4,0.4,0.04053929480479141
4.2,-0.4,0.03441078295368666
4.2,0,0.04083764099801678
4.2,0.4,0.04423115863522826
4.4,-0.4,0.04082560280485597
4.4,0,0.04621107354146568
4.4,0.4,0.04928144136956518
4.6000000000000005,-0.4,0.047725654927786416
4.6000000000000005,0,0.05222914330403744
4.6000000000000005,0.4,0.054968089690717106
4.800000000000001,-0.4,0.057464538954735904
4.800000000000001,0,0.06121894005687814
4.800000000000001,0.4,0.06362950856103516
5,-0.4,0.06767810894893905
5,0,0.07079650034389037
5,0.4,0.072891487568913
