% Model,COMSOL_Inductor32_Magnet3x4_Shielded.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 11 2025, 14:30"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,0.03664830663407137
0,0,-0.9373616690980578
0,3.85,-1.3209317538768717
0.25,-3.85,-0.3551617125654976
0.25,0,-1.3470729660783727
0.25,3.85,-1.682183137754854
0.5,-3.85,-0.11731743079900218
0.5,0,-0.9770673160406285
0.5,3.85,-1.1978832518877391
0.75,-3.85,0.017042131407612977
0.75,0,-0.7099997680698175
0.75,3.85,-0.8425080583376622
1,-3.85,0.08891403429395253
1,0,-0.48999862842720204
1,3.85,-0.5933904194931674
1.25,-3.85,0.12119343232568144
1.25,0,-0.32812708655466555
1.25,3.85,-0.4214574215344635
1.5,-3.85,0.1330969745613805
1.5,0,-0.2175578086641886
1.5,3.85,-0.3048000408060114
1.75,-3.85,0.13333895002995927
1.75,0,-0.14583897705363275
1.75,3.85,-0.22899981810468023
2,-3.85,0.12919471089195536
2,0,-0.09742884141414868
2,3.85,-0.17624029995604948
2.2500000000000004,-3.85,0.11986593038347151
2.2500000000000004,0,-0.06672758183821571
2.2500000000000004,3.85,-0.14075728580131563
2.5,-3.85,0.11027945368584183
2.5,0,-0.044775710026966814
2.5,3.85,-0.11396008441560634
2.75,-3.85,0.09995753601486936
2.75,0,-0.029776953478992087
2.75,3.85,-0.0940572455136503
3,-3.85,0.08893826749398584
3,0,-0.020266935412821704
3,3.85,-0.07950519434503024
3.2500000000000004,-3.85,0.07847236469181368
3.2500000000000004,0,-0.013912200264899626
3.2500000000000004,3.85,-0.06808654162036555
3.5,-3.85,0.06615199267952865
3.5,0,-0.01232817256372096
3.5,3.85,-0.06151367574293064
3.75,-3.85,0.0557369189068022
3.75,0,-0.01113532087295086
3.75,3.85,-0.0555043643316278
4,-3.85,0.04667755892274594
4,0,-0.01043313440820074
4,3.85,-0.05021097480225285
4.25,-3.85,0.03584055007680055
4.25,0,-0.01300684908884752
4.25,3.85,-0.04847144421559695
4.500000000000001,-3.85,0.024072871417184855
4.500000000000001,0,-0.017726244818916166
4.500000000000001,3.85,-0.049172293471436535
4.75,-3.85,0.01515272999098153
4.75,0,-0.020606755751909955
4.75,3.85,-0.04834301524346653
5,-3.85,0.005854784241119486
5,0,-0.024714705268108657
5,3.85,-0.04905361422848693
5.25,-3.85,-0.0010630237564835674
5.25,0,-0.02716320318146199
5.25,3.85,-0.04841472273546911
5.5,-3.85,-0.010293292883972491
5.5,0,-0.03254174595521292
5.5,3.85,-0.051007548542128085
5.75,-3.85,-0.01676555304820751
5.75,0,-0.035684055409002026
5.75,3.85,-0.051645859786980775
6,-3.85,-0.02197194281147513
6,0,-0.03802894346349747
6,3.85,-0.05176716848937781
