% Model,Inductor_LQW15CN3R3M10D.mph
% Version,COMSOL 6.2.0.290
% Date,"Oct 24 2024, 12:36"
% Table,Table 1 - Global Evaluation 1
% Gap (m),"Electromagnetic force, z-component (N)"
0,7.101409129702356E-4
5.0E-5,-0.033708517559372535
1.0E-4,-0.02331957342116679
1.5000000000000001E-4,-0.01863477750881895
2.0E-4,-0.01715319701363481
2.5E-4,-0.009846929521120259
3.0000000000000003E-4,-0.004136661773870315
3.5000000000000005E-4,-0.004516115265348227
4.0E-4,-0.004189334212907486
4.5000000000000004E-4,-0.0011749478323743977
5.0E-4,-0.004983782041395712
5.5E-4,-0.0028882776124726332
6.000000000000001E-4,0.0010072305089052248
6.500000000000001E-4,-0.003105278761560557
7.000000000000001E-4,4.842062599918458E-4
7.5E-4,-0.0017333399709234549
8.0E-4,0.0033616172121614684
8.500000000000001E-4,0.0013753660048182069
9.000000000000001E-4,-0.0021041089030844964
9.500000000000001E-4,3.51423672903077E-5
0.001,0.003085018169034757
0.0010500000000000002,-0.00260305756131678
0.0011,0.0020458081376601538
0.0011500000000000002,-0.0013510259015695747
0.0012000000000000001,-0.0030630591525803654
