% Model,EM_DoulbeMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jul 1 2024, 13:51"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0,-0.13,-0.13,0.003436741349371537
0,-0.13,0,-0.0011672188125073264
0,-0.13,0.13,-0.004306182698905599
0,0,-0.13,0.005355354698470729
0,0,0,8.314824447948448E-4
0,0,0.13,-0.0022272284346892095
0,0.13,-0.13,0.007281431182824146
0,0.13,0,0.0028379305563629234
0,0.13,0.13,-1.4058540860619265E-4
0.005,-0.13,-0.13,-0.009741810985990113
0.005,-0.13,0,-0.01985389588074297
0.005,-0.13,0.13,-0.03005699665966466
0.005,0,-0.13,-0.00817132378442276
0.005,0,0,-0.018286671880824307
0.005,0,0.13,-0.028493093245277913
0.005,0.13,-0.13,-0.006598098003620174
0.005,0.13,0,-0.01671704293360509
0.005,0.13,0.13,-0.026926686401047915
0.01,-0.13,-0.13,-0.009302375419101928
0.01,-0.13,0,-0.01907269124069149
0.01,-0.13,0.13,-0.028922525320490042
0.01,0,-0.13,-0.007654191113138598
0.01,0,0,-0.01742771161767145
0.01,0,0.13,-0.02728012269725467
0.01,0.13,-0.13,-0.006003476089836105
0.01,0.13,0,-0.01578003536932068
0.01,0.13,0.13,-0.02563570673782479
0.015,-0.13,-0.13,-0.009211186483240177
0.015,-0.13,0,-0.018624367740505066
0.015,-0.13,0.13,-0.028105424612759902
0.015,0,-0.13,-0.0075252782255587555
0.015,0,0,-0.01694095868278823
0.015,0,0.13,-0.026424583615680404
0.015,0.13,-0.13,-0.0058366502438576395
0.015,0.13,0,-0.015255029858839619
0.015,0.13,0.13,-0.024741062754212433
0.02,-0.13,-0.13,-0.006690895855725038
0.02,-0.13,0,-0.01564348364467552
0.02,-0.13,0.13,-0.02465984879709645
0.02,0,-0.13,-0.004983757769157716
0.02,0,0,-0.013938650039056547
0.02,0,0.13,-0.022957618980632435
0.02,0.13,-0.13,-0.003273992912527208
0.02,0.13,0,-0.012231412982797922
0.02,0.13,0.13,-0.021252714272640152
0.025,-0.13,-0.13,-0.005938745638903335
0.025,-0.13,0,-0.014501258168668301
0.025,-0.13,0.13,-0.02312478493374417
0.025,0,-0.13,-0.004210644501936747
0.025,0,0,-0.012774948571252422
0.025,0,0.13,-0.021400967089882976
0.025,0.13,-0.13,-0.002478722560488587
0.025,0.13,0,-0.011045883624003513
0.025,0.13,0.13,-0.01967430209908172
0.03,-0.13,-0.13,-0.0036086318165835622
0.03,-0.13,0,-0.011935510007922359
0.03,-0.13,0.13,-0.02032373775348116
0.03,0,-0.13,-0.0017753626974059307
0.03,0,0,-0.010104167106727761
0.03,0,0.13,-0.018494944699203195
0.03,0.13,-0.13,6.216504179330437E-5
0.03,0.13,0,-0.008269306862983949
0.03,0.13,0.13,-0.016662477397371242
0.035,-0.13,-0.13,-0.006414252598860375
0.035,-0.13,0,-0.014369365466875105
0.035,-0.13,0.13,-0.022376157113377867
0.035,0,-0.13,-0.0045541615723635655
0.035,0,0,-0.012511241263866471
0.035,0,0.13,-0.020520178703920616
0.035,0.13,-0.13,-0.00269052612292525
0.035,0.13,0,-0.010649456101308769
0.035,0.13,0.13,-0.018660789326538002
0.04,-0.13,-0.13,-0.003507499290808313
0.04,-0.13,0,-0.01123431100172937
0.04,-0.13,0.13,-0.019015108230645412
0.04,0,-0.13,-0.001597298161808162
0.04,0,0,-0.009325650196126625
0.04,0,0.13,-0.01710843897435279
0.04,0.13,-0.13,3.164458451547017E-4
0.04,0.13,0,-0.007414105383057326
0.04,0.13,0.13,-0.015198701602732194
0.045,-0.13,-0.13,-0.002510166028699568
0.045,-0.13,0,-0.009860146099005054
0.045,-0.13,0.13,-0.017256998668911755
0.045,0,-0.13,-6.049942553364579E-4
0.045,0,0,-0.007956125893906736
0.045,0,0.13,-0.015355032698744508
0.045,0.13,-0.13,0.0013044571605775462
0.045,0.13,0,-0.0060488665475872515
0.045,0.13,0.13,-0.013449054830718135
0.05,-0.13,-0.13,-0.003125029090927393
0.05,-0.13,0,-0.010285085345142584
0.05,-0.13,0.13,-0.017491398093746016
0.05,0,-0.13,-0.0011484105803787614
0.05,0,0,-0.00830972855688255
0.05,0,0.13,-0.015518237250855002
0.05,0.13,-0.13,8.325558543847318E-4
0.05,0.13,0,-0.00633087233226551
0.05,0.13,0.13,-0.013540702439751046
0.055,-0.13,-0.13,-0.0037222667966688924
0.055,-0.13,0,-0.010667318807553141
0.055,-0.13,0.13,-0.01765359827164413
0.055,0,-0.13,-0.001692953674011963
0.055,0,0,-0.008639273867783496
0.055,0,0.13,-0.01562721277673256
0.055,0.13,-0.13,3.4051375448644616E-4
0.055,0.13,0,-0.006607226958869172
0.055,0.13,0.13,-0.01359680437279223
0.06,-0.13,-0.13,-0.0016435277796716333
0.06,-0.13,0,-0.008340279447904147
0.06,-0.13,0.13,-0.015076519268429348
0.06,0,-0.13,4.5174837408571734E-4
0.06,0,0,-0.0062461583358377395
0.06,0,0.13,-0.012983840075324488
0.06,0.13,-0.13,0.0025514216837883123
0.06,0.13,0,-0.004147961567893816
0.06,0.13,0.13,-0.010887008145396705
0.065,-0.13,-0.13,-0.00314372890528037
0.065,-0.13,0,-0.009645744663725905
0.065,-0.13,0.13,-0.016183332562092284
0.065,0,-0.13,-9.710420698343502E-4
0.065,0,0,-0.0074740257320957595
0.065,0,0.13,-0.014013331813152697
0.065,0.13,-0.13,0.0012063391637826652
0.065,0.13,0,-0.00529823406336858
0.065,0.13,0.13,-0.011838604958844557
0.07,-0.13,-0.13,-0.00294910814662035
0.07,-0.13,0,-0.00924372261124692
0.07,-0.13,0.13,-0.015575870096985474
0.07,0,-0.13,-7.409479779049051E-4
0.07,0,0,-0.0070364101214828445
0.07,0,0.13,-0.013370065645973974
0.07,0.13,-0.13,0.0014717969617747701
0.07,0.13,0,-0.004825247990870023
0.07,0.13,0.13,-0.011160269481869503
0.075,-0.13,-0.13,-0.002934907498926361
0.075,-0.13,0,-0.008944971582162594
0.075,-0.13,0.13,-0.01500171851939345
0.075,0,-0.13,-7.03700960231984E-4
0.075,0,0,-0.006714946082841233
0.075,0,0.13,-0.012773292894605586
0.075,0.13,-0.13,0.0015324288193721827
0.075,0.13,0,-0.004480399959725514
0.075,0.13,0.13,-0.010540386011822937
0.08,-0.13,-0.13,-7.793515109382502E-4
0.08,-0.13,0,-0.00666040093695278
0.08,-0.13,0.13,-0.012584128478751067
0.08,0,-0.13,0.0015200398527570429
0.08,0,0,-0.004361715169894276
0.08,0,0.13,-0.010287008874644158
0.08,0.13,-0.13,0.0038248888555654312
0.08,0.13,0,-0.0020584538466850554
0.08,0.13,0.13,-0.007984711797216836
0.085,-0.13,-0.13,-0.0021622297241279762
0.085,-0.13,0,-0.007882642491999417
0.085,-0.13,0.13,-0.013642076254317279
0.085,0,-0.13,2.04779088748973E-4
0.085,0,0,-0.005516652617649468
0.085,0,0.13,-0.011277053573012279
0.085,0.13,-0.13,0.002576349190058936
0.085,0.13,0,-0.0031460770750354056
0.085,0.13,0.13,-0.008907809593489175
0.09,-0.13,-0.13,-0.0024248668668192513
0.09,-0.13,0,-0.007869327055300487
0.09,-0.13,0.13,-0.013354667724012535
0.09,0,-0.13,-5.750315865137891E-5
0.09,0,0,-0.005502893504982698
0.09,0,0.13,-0.010989437753933504
0.09,0.13,-0.13,0.002315465593216229
0.09,0.13,0,-0.003131276293699199
0.09,0.13,0.13,-0.008618748895918404
0.095,-0.13,-0.13,-0.0017134299226716143
0.095,-0.13,0,-0.007186822901924109
0.095,-0.13,0.13,-0.012690458558048389
0.095,0,-0.13,7.479853647554425E-4
0.095,0,0,-0.004726038619318405
0.095,0,0.13,-0.010230612367889833
0.095,0.13,-0.13,0.0032154155527318092
0.095,0.13,0,-0.0022596046873033446
0.095,0.13,0.13,-0.007765034506434058
0.1,-0.13,-0.13,-9.458936400213759E-4
0.1,-0.13,0,-0.006094975536889494
0.1,-0.13,0.13,-0.011277738799422071
0.1,0,-0.13,0.0015434224040131728
0.1,0,0,-0.0036063970168875737
0.1,0,0.13,-0.00879003610152404
0.1,0.13,-0.13,0.004038531254584282
0.1,0.13,0,-0.0011121410570213864
0.1,0.13,0.13,-0.006296814794248344
0.105,-0.13,-0.13,-0.004301276679152389
0.105,-0.13,0,-0.00938907895055464
0.105,-0.13,0.13,-0.014500366939457474
