% Model,EM_DoulbeMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jul 1 2024, 13:23"
% Table,Table 3 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0,-1.3,-1.3,0.10037045446752849
0,-1.3,0,-0.01880141465636275
0,-1.3,1.3,0.008497320177455046
0,0,-1.3,0.11198215784334462
0,0,0,8.349172669734201E-4
0,0,1.3,0.03615833636705057
0,1.3,-1.3,0.12437137516551419
0,1.3,0,0.02124873147777505
0,1.3,1.3,0.06459679163963758
0.005,-1.3,-1.3,0.06286622863117561
0.005,-1.3,0,-0.03384590189155216
0.005,-1.3,1.3,-0.13965806578329887
0.005,0,-1.3,0.07877228540031
0.005,0,0,-0.018286671883192426
0.005,0,1.3,-0.12444566937923535
0.005,1.3,-1.3,0.09493097153594476
0.005,1.3,0,-0.0024736646586253977
0.005,1.3,1.3,-0.10897889590361583
0.01,-1.3,-1.3,0.06012735214916005
0.01,-1.3,0,-0.03375259722282549
0.01,-1.3,1.3,-0.13553227668307144
0.01,0,-1.3,0.07675187663312308
0.01,0,0,-0.01742771132328514
0.01,0,1.3,-0.11950847587898841
0.01,1.3,-1.3,0.09365475793834607
0.01,1.3,0,-8.253773451706477E-4
0.01,1.3,1.3,-0.10320636598763436
0.015,-1.3,-1.3,0.05719803706870299
0.015,-1.3,0,-0.03364972544492133
0.015,-1.3,1.3,-0.13126748475245606
0.015,0,-1.3,0.07417052285668876
0.015,0,0,-0.016940958645508312
0.015,0,1.3,-0.11482201883924938
0.015,1.3,-1.3,0.09142037335152073
0.015,1.3,0,4.5222335906447766E-5
0.015,1.3,1.3,-0.09809935820213492
0.02,-1.3,-1.3,0.05557982636652274
0.02,-1.3,0,-0.030857724365324895
0.02,-1.3,1.3,-0.12367233171904096
0.02,0,-1.3,0.07274271554318221
0.02,0,0,-0.013938650062709623
0.02,0,1.3,-0.1069961517171051
0.02,1.3,-1.3,0.0901866794481638
0.02,1.3,0,0.003261682172735942
0.02,1.3,1.3,-0.09003976787108015
0.025,-1.3,-1.3,0.052751393159986455
0.025,-1.3,0,-0.029900994151891864
0.025,-1.3,1.3,-0.1186732286131924
0.025,0,-1.3,0.07011889659661961
0.025,0,0,-0.012774948561261107
0.025,0,1.3,-0.10178864173988669
0.025,1.3,-1.3,0.08778773852586
0.025,1.3,0,0.004652194882420933
0.025,1.3,1.3,-0.08460279351324647
0.03,-1.3,-1.3,0.05203237214642474
0.03,-1.3,0,-0.02824466673429453
0.03,-1.3,1.3,-0.11468050037234097
0.03,0,-1.3,0.07041586451131132
0.03,0,0,-0.010104167107245422
0.03,0,1.3,-0.09678241752532808
0.03,1.3,-1.3,0.08918072058210964
0.03,1.3,0,0.008417300633990953
0.03,1.3,1.3,-0.07850386013833965
0.035,-1.3,-1.3,0.046081949930926194
0.035,-1.3,0,-0.03092505488021139
0.035,-1.3,1.3,-0.11315771441296074
0.035,0,-1.3,0.06470602201990458
0.035,0,0,-0.012511241267285821
0.035,0,1.3,-0.09495397997922615
0.035,1.3,-1.3,0.0837006879135907
0.035,1.3,0,0.006273075851432282
0.035,1.3,1.3,-0.07637991691589337
0.04,-1.3,-1.3,0.0463949227192981
0.04,-1.3,0,-0.028270445896209192
0.04,-1.3,1.3,-0.10833436535021065
0.04,0,-1.3,0.06553164047765173
0.04,0,0,-0.009325650196426135
0.04,0,1.3,-0.08958155573824704
0.04,1.3,-1.3,0.08498193240044652
0.04,1.3,0,0.009932290951706207
0.04,1.3,1.3,-0.07051556848375207
0.045,-1.3,-1.3,0.044389030749328685
0.045,-1.3,0,-0.026819387679235716
0.045,-1.3,1.3,-0.10275087270999005
0.045,0,-1.3,0.06343271116562767
0.045,0,0,-0.007956125891075977
0.045,0,1.3,-0.08406839482843256
0.045,1.3,-1.3,0.08286428294068826
0.045,1.3,0,0.011294259978666597
0.045,1.3,1.3,-0.06499835071325218
0.05,-1.3,-1.3,0.041460915149149465
0.05,-1.3,0,-0.027869522784432672
0.05,-1.3,1.3,-0.10186498953877438
0.05,0,-1.3,0.06120631248033323
0.05,0,0,-0.008309728577226649
0.05,0,1.3,-0.08249132581267625
0.05,1.3,-1.3,0.08137530957152822
0.05,1.3,0,0.011672351995155227
0.05,1.3,1.3,-0.06269496138750152
0.055,-1.3,-1.3,0.03870338544080363
0.055,-1.3,0,-0.028732792808593394
0.055,-1.3,1.3,-0.1003307314138231
0.055,0,-1.3,0.05895038647898032
0.055,0,0,-0.00863927386707286
0.055,0,1.3,-0.08039080807285849
0.055,1.3,-1.3,0.07961191191760865
0.055,1.3,0,0.011868408890443967
0.055,1.3,1.3,-0.06003656080828321
0.06,-1.3,-1.3,0.03806188125418031
0.06,-1.3,0,-0.026994503327301387
0.06,-1.3,1.3,-0.0960115013112241
0.06,0,-1.3,0.05895124481983756
0.06,0,0,-0.0062461583452441335
0.06,0,1.3,-0.07540455944390302
0.06,1.3,-1.3,0.08026831017842911
0.06,1.3,0,0.014929265740282818
0.06,1.3,1.3,-0.054370630091293386
0.065,-1.3,-1.3,0.03429828384170232
0.065,-1.3,0,-0.028977452277588273
0.065,-1.3,1.3,-0.09584333618953644
0.065,0,-1.3,0.055941670415501
0.065,0,0,-0.00747402573577878
0.065,0,1.3,-0.07448061158872346
0.065,1.3,-1.3,0.0780539473040526
0.065,1.3,0,0.014497255592667995
0.065,1.3,1.3,-0.05264992367683439
0.07,-1.3,-1.3,0.032211747288601954
0.07,-1.3,0,-0.02891671656327372
0.07,-1.3,1.3,-0.09381639584636857
0.07,0,-1.3,0.05422397648179026
0.07,0,0,-0.0070364101283468695
0.07,0,1.3,-0.07206836226539211
0.07,1.3,-1.3,0.07666086228308454
0.07,1.3,0,0.01526797228455937
0.07,1.3,1.3,-0.04989591659556338
0.075,-1.3,-1.3,0.029048890440429728
0.075,-1.3,0,-0.028795313706170944
0.075,-1.3,1.3,-0.09134631028823345
0.075,0,-1.3,0.051279850997642734
0.075,0,0,-0.0067149460757623455
0.075,0,1.3,-0.06941683936796766
0.075,1.3,-1.3,0.07399692256512735
0.075,1.3,0,0.01585089094632532
0.075,1.3,1.3,-0.047001921570389925
0.08,-1.3,-1.3,0.029639407402684313
0.08,-1.3,0,-0.02711150360443199
0.08,-1.3,1.3,-0.08817919650554448
0.08,0,-1.3,0.05251563978445474
0.08,0,0,-0.004361715175416744
0.08,0,1.3,-0.06555643375912137
0.08,1.3,-1.3,0.07591235374871387
0.08,1.3,0,0.018907784678180765
0.08,1.3,1.3,-0.04241362602576688
0.085,-1.3,-1.3,0.02636181526366181
0.085,-1.3,0,-0.028977983106831195
0.085,-1.3,1.3,-0.08823928794244373
0.085,0,-1.3,0.0499325462425153
0.085,0,0,-0.005516652615059479
0.085,0,1.3,-0.0648871126481381
0.085,1.3,-1.3,0.07394659909791018
0.085,1.3,0,0.018388012970455014
0.085,1.3,1.3,-0.04109191073361406
0.09,-1.3,-1.3,0.0235746209663869
0.09,-1.3,0,-0.028922888264930197
0.09,-1.3,1.3,-0.08551409190567835
0.09,0,-1.3,0.047110194479690934
0.09,0,0,-0.005502893509198685
0.09,0,1.3,-0.062210017535727385
0.09,1.3,-1.3,0.07118783631855799
0.09,1.3,0,0.018458994627210724
0.09,1.3,1.3,-0.038363384267704866
0.095,-1.3,-1.3,0.024218193067123923
0.095,-1.3,0,-0.029065937838037917
0.095,-1.3,1.3,-0.08539394680988452
0.095,0,-1.3,0.04864518007642157
0.095,0,0,-0.004726038619212852
0.095,0,1.3,-0.06114144056343218
0.095,1.3,-1.3,0.07366585390117017
0.095,1.3,0,0.020207027645137616
0.095,1.3,1.3,-0.03629569012067047
0.1,-1.3,-1.3,0.021648450179726265
0.1,-1.3,0,-0.02823452617249278
0.1,-1.3,1.3,-0.08151196574269393
0.1,0,-1.3,0.04636400979321457
0.1,0,0,-0.0036063970150832046
0.1,0,1.3,-0.05697123631443875
0.1,1.3,-1.3,0.07165148933394634
0.1,1.3,0,0.02159357188316862
0.1,1.3,1.3,-0.03185877162137761
0.105,-1.3,-1.3,0.018110267053527102
0.105,-1.3,0,-0.03161482800381363
0.105,-1.3,1.3,-0.08371274576692145
0.105,0,-1.3,0.04293045592928074
0.105,0,0,-0.0068869568478978314
0.105,0,1.3,-0.059077485705868356
0.105,1.3,-1.3,0.06839942115681108
0.105,1.3,0,0.01848922982236511
0.105,1.3,1.3,-0.03379374554945421
0.11,-1.3,-1.3,0.019598612232864864
0.11,-1.3,0,-0.029171559009074793
0.11,-1.3,1.3,-0.07965004922663912
0.11,0,-1.3,0.0452064836386208
0.11,0,0,-0.0036320123484096523
0.11,0,1.3,-0.05417904083396072
0.11,1.3,-1.3,0.07145705496626072
0.11,1.3,0,0.022550036250549455
0.11,1.3,1.3,-0.028064975143265038
0.115,-1.3,-1.3,0.0184775424028855
0.115,-1.3,0,-0.028444290789826177
0.115,-1.3,1.3,-0.07691358633078144
0.115,0,-1.3,0.044942737489905085
0.115,0,0,-0.00203813203666099
0.115,0,1.3,-0.05056668514122316
0.115,1.3,-1.3,0.0720964546767422
0.115,1.3,0,0.0250563024540357
0.115,1.3,1.3,-0.02353093423668378
0.12,-1.3,-1.3,0.016366314188954848
0.12,-1.3,0,-0.030028603582216387
0.12,-1.3,1.3,-0.07801813211781408
0.12,0,-1.3,0.04369373866033406
0.12,0,0,-0.0027598641733231717
0.12,0,1.3,-0.050808374623266
0.12,1.3,-1.3,0.07165994653647959
0.12,1.3,0,0.025147287301881177
0.12,1.3,1.3,-0.022960591185279704
0.125,-1.3,-1.3,0.015837864896423054
0.125,-1.3,0,-0.030142676255178778
0.125,-1.3,1.3,-0.0777215302308526
0.125,0,-1.3,0.04403381377155761
0.125,0,0,-0.001993726633228731
0.125,0,1.3,-0.04961997124517707
0.125,1.3,-1.3,0.07299757908921892
0.125,1.3,0,0.026922806312275078
0.125,1.3,1.3,-0.02075019741735222
0.13,-1.3,-1.3,0.01570848972318604
0.13,-1.3,0,-0.02892035620724422
0.13,-1.3,1.3,-0.07492280463926335
0.13,0,-1.3,0.044245286619318966
0.13,0,0,-4.12753636759371E-4
0.13,0,1.3,-0.04644459486860952
0.13,1.3,-1.3,0.07340782501379582
0.13,1.3,0,0.028720390167886668
0.13,1.3,1.3,-0.017340199749284677
0.135,-1.3,-1.3,0.012776234280103261
0.135,-1.3,0,-0.02959258892784259
0.135,-1.3,1.3,-0.0735400639387023
0.135,0,-1.3,0.04182775604946353
0.135,0,0,-5.836156814539861E-4
0.135,0,1.3,-0.04457405902545407
0.135,1.3,-1.3,0.07156892198016265
0.135,1.3,0,0.029114432423977005
0.135,1.3,1.3,-0.014919147466327894
0.14,-1.3,-1.3,0.010531799019077269
0.14,-1.3,0,-0.03150456976211282
0.14,-1.3,1.3,-0.07506352885366016
0.14,0,-1.3,0.04038275232920274
0.14,0,0,-0.0016829045312289487
0.14,0,1.3,-0.04527097586212181
0.14,1.3,-1.3,0.07106308483175608
0.14,1.3,0,0.028968285482159975
0.14,1.3,1.3,-0.014648688738960344
0.145,-1.3,-1.3,0.010863747202722492
0.145,-1.3,0,-0.030035483477790528
0.145,-1.3,1.3,-0.07235740961247397
0.145,0,-1.3,0.04137325560225708
0.145,0,0,4.50917215624529E-4
0.145,0,1.3,-0.04189428270567677
0.145,1.3,-1.3,0.07254794944106821
0.145,1.3,0,0.031602245636591315
0.145,1.3,1.3,-0.010765911476964797
0.15,-1.3,-1.3,0.0065950720066036
0.15,-1.3,0,-0.033603845353753145
0.15,-1.3,1.3,-0.07517367524008468
0.15,0,-1.3,0.03839915795571283
0.15,0,0,-0.001821338062083502
0.15,0,1.3,-0.04341271194890294
0.15,1.3,-1.3,0.07102693510669775
0.15,1.3,0,0.03078485852247837
0.15,1.3,1.3,-0.010827591847750957
