Designator,Mid X,Mid Y,Rotation,Layer
L1,114.835601,-130.061,180.0,bottom
L10,154.835601,-130.061,180.0,bottom
L100,122.835601,-66.061,180.0,bottom
L11,130.835601,-82.061,180.0,bottom
L12,146.835601,-114.061,180.0,bottom
L13,186.835601,-122.061,180.0,bottom
L14,130.835601,-98.061,180.0,bottom
L15,130.835601,-114.061,180.0,bottom
L16,162.835601,-66.061,180.0,bottom
L17,162.835601,-90.061,180.0,bottom
L18,114.835601,-114.061,180.0,bottom
L19,178.835601,-114.061,180.0,bottom
L2,130.835601,-66.061,180.0,bottom
L20,146.835601,-66.061,180.0,bottom
L21,178.835601,-66.061,180.0,bottom
L22,186.835601,-106.061,180.0,bottom
L23,146.835601,-122.061,180.0,bottom
L24,178.835601,-90.061,180.0,bottom
L25,122.835601,-74.061,180.0,bottom
L26,186.835601,-74.061,180.0,bottom
L27,170.835601,-138.061,180.0,bottom
L28,138.835601,-122.061,180.0,bottom
L29,170.835601,-74.061,180.0,bottom
L3,114.835601,-138.061,180.0,bottom
L30,122.835601,-122.061,180.0,bottom
L31,130.835601,-74.061,180.0,bottom
L32,162.835601,-130.061,180.0,bottom
L33,146.835601,-130.061,180.0,bottom
L34,138.835601,-98.061,180.0,bottom
L35,170.835601,-90.061,180.0,bottom
L36,146.835601,-106.061,180.0,bottom
L37,186.835601,-130.061,180.0,bottom
L38,154.835601,-66.061,180.0,bottom
L39,154.835601,-106.061,180.0,bottom
L4,114.835601,-82.061,180.0,bottom
L40,114.835601,-74.061,180.0,bottom
L41,170.835601,-114.061,180.0,bottom
L42,154.835601,-82.061,180.0,bottom
L43,138.835601,-106.061,180.0,bottom
L44,178.835601,-74.061,180.0,bottom
L45,162.835601,-114.061,180.0,bottom
L46,186.835601,-66.061,180.0,bottom
L47,146.835601,-82.061,180.0,bottom
L48,114.835601,-122.061,180.0,bottom
L49,122.835601,-138.061,180.0,bottom
L5,130.835601,-106.061,180.0,bottom
L50,154.835601,-138.061,180.0,bottom
L51,170.835601,-130.061,180.0,bottom
L52,138.835601,-82.061,180.0,bottom
L53,162.835601,-138.061,180.0,bottom
L54,122.835601,-114.061,180.0,bottom
L55,122.835601,-90.061,180.0,bottom
L56,114.835601,-66.061,180.0,bottom
L57,170.835601,-106.061,180.0,bottom
L58,178.835601,-138.061,180.0,bottom
L59,154.835601,-90.061,180.0,bottom
L6,170.835601,-98.061,180.0,bottom
L60,154.835601,-74.061,180.0,bottom
L61,162.835601,-122.061,180.0,bottom
L62,170.835601,-122.061,180.0,bottom
L63,130.835601,-130.061,180.0,bottom
L64,178.835601,-130.061,180.0,bottom
L65,138.835601,-90.061,180.0,bottom
L66,178.835601,-122.061,180.0,bottom
L67,154.835601,-98.061,180.0,bottom
L68,186.835601,-114.061,180.0,bottom
L69,138.835601,-114.061,180.0,bottom
L7,138.835601,-74.061,180.0,bottom
L70,114.835601,-98.061,180.0,bottom
L71,186.835601,-98.061,180.0,bottom
L72,130.835601,-122.061,180.0,bottom
L73,146.835601,-98.061,180.0,bottom
L74,114.835601,-90.061,180.0,bottom
L75,178.835601,-82.061,180.0,bottom
L76,162.835601,-74.061,180.0,bottom
L77,114.835601,-106.061,180.0,bottom
L78,122.835601,-98.061,180.0,bottom
L79,122.835601,-106.061,180.0,bottom
L8,122.835601,-82.061,180.0,bottom
L80,186.835601,-138.061,180.0,bottom
L81,170.835601,-66.061,180.0,bottom
L82,178.835601,-98.061,180.0,bottom
L83,138.835601,-138.061,180.0,bottom
L84,186.835601,-82.061,180.0,bottom
L85,170.835601,-82.061,180.0,bottom
L86,186.835601,-90.061,180.0,bottom
L87,154.835601,-122.061,180.0,bottom
L88,130.835601,-90.061,180.0,bottom
L89,162.835601,-106.061,180.0,bottom
L9,138.835601,-66.061,180.0,bottom
L90,122.835601,-130.061,180.0,bottom
L91,162.835601,-82.061,180.0,bottom
L92,154.835601,-114.061,180.0,bottom
L93,146.835601,-138.061,180.0,bottom
L94,146.835601,-90.061,180.0,bottom
L95,138.835601,-130.061,180.0,bottom
L96,162.835601,-98.061,180.0,bottom
L97,146.835601,-74.061,180.0,bottom
L98,178.835601,-106.061,180.0,bottom
L99,130.835601,-138.061,180.0,bottom
Q1,113.106401,-132.0211,270.0,top
Q10,130.950001,-105.143,180.0,top
Q100,154.950001,-137.143,180.0,top
Q101,169.106401,-132.0211,270.0,top
Q102,170.950001,-129.143,180.0,top
Q103,137.106401,-84.0211,270.0,top
Q104,138.950001,-81.143,180.0,top
Q105,161.106401,-140.0211,270.0,top
Q106,162.950001,-137.143,180.0,top
Q107,121.106401,-116.0211,270.0,top
Q108,122.950001,-113.143,180.0,top
Q109,121.106401,-92.0211,270.0,top
Q11,169.106401,-100.0211,270.0,top
Q110,122.950001,-89.143,180.0,top
Q111,113.106401,-68.0211,270.0,top
Q112,114.950001,-65.143,180.0,top
Q113,169.106401,-108.0211,270.0,top
Q114,170.950001,-105.143,180.0,top
Q115,177.106401,-140.0211,270.0,top
Q116,178.950001,-137.143,180.0,top
Q117,153.106401,-92.0211,270.0,top
Q118,154.950001,-89.143,180.0,top
Q119,153.106401,-76.0211,270.0,top
Q12,170.950001,-97.143,180.0,top
Q120,154.950001,-73.143,180.0,top
Q121,161.106401,-124.0211,270.0,top
Q122,162.950001,-121.143,180.0,top
Q123,169.106401,-124.0211,270.0,top
Q124,170.950001,-121.143,180.0,top
Q125,129.106401,-132.0211,270.0,top
Q126,130.950001,-129.143,180.0,top
Q127,177.106401,-132.0211,270.0,top
Q128,178.950001,-129.143,180.0,top
Q129,137.106401,-92.0211,270.0,top
Q13,137.106401,-76.0211,270.0,top
Q130,138.950001,-89.143,180.0,top
Q131,177.106401,-124.0211,270.0,top
Q132,178.950001,-121.143,180.0,top
Q133,153.106401,-100.0211,270.0,top
Q134,154.950001,-97.143,180.0,top
Q135,185.106401,-116.0211,270.0,top
Q136,186.950001,-113.143,180.0,top
Q137,137.106401,-116.0211,270.0,top
Q138,138.950001,-113.143,180.0,top
Q139,113.106401,-100.0211,270.0,top
Q14,138.950001,-73.143,180.0,top
Q140,114.950001,-97.143,180.0,top
Q141,185.106401,-100.0211,270.0,top
Q142,186.950001,-97.143,180.0,top
Q143,129.106401,-124.0211,270.0,top
Q144,130.950001,-121.143,180.0,top
Q145,145.106401,-100.0211,270.0,top
Q146,146.950001,-97.143,180.0,top
Q147,113.106401,-92.0211,270.0,top
Q148,114.950001,-89.143,180.0,top
Q149,177.106401,-84.0211,270.0,top
Q15,121.106401,-84.0211,270.0,top
Q150,178.950001,-81.143,180.0,top
Q151,161.106401,-76.0211,270.0,top
Q152,162.950001,-73.143,180.0,top
Q153,113.106401,-108.0211,270.0,top
Q154,114.950001,-105.143,180.0,top
Q155,121.106401,-100.0211,270.0,top
Q156,122.950001,-97.143,180.0,top
Q157,121.106401,-108.0211,270.0,top
Q158,122.950001,-105.143,180.0,top
Q159,185.106401,-140.0211,270.0,top
Q16,122.950001,-81.143,180.0,top
Q160,186.950001,-137.143,180.0,top
Q161,169.106401,-68.0211,270.0,top
Q162,170.950001,-65.143,180.0,top
Q163,177.106401,-100.0211,270.0,top
Q164,178.950001,-97.143,180.0,top
Q165,137.106401,-140.0211,270.0,top
Q166,138.950001,-137.143,180.0,top
Q167,185.106401,-84.0211,270.0,top
Q168,186.950001,-81.143,180.0,top
Q169,169.106401,-84.0211,270.0,top
Q17,137.106401,-68.0211,270.0,top
Q170,170.950001,-81.143,180.0,top
Q171,185.106401,-92.0211,270.0,top
Q172,186.950001,-89.143,180.0,top
Q173,153.106401,-124.0211,270.0,top
Q174,154.950001,-121.143,180.0,top
Q175,129.106401,-92.0211,270.0,top
Q176,130.950001,-89.143,180.0,top
Q177,161.106401,-108.0211,270.0,top
Q178,162.950001,-105.143,180.0,top
Q179,121.106401,-132.0211,270.0,top
Q18,138.950001,-65.143,180.0,top
Q180,122.950001,-129.143,180.0,top
Q181,161.106401,-84.0211,270.0,top
Q182,162.950001,-81.143,180.0,top
Q183,153.106401,-116.0211,270.0,top
Q184,154.950001,-113.143,180.0,top
Q185,145.106401,-140.0211,270.0,top
Q186,146.950001,-137.143,180.0,top
Q187,145.106401,-92.0211,270.0,top
Q188,146.950001,-89.143,180.0,top
Q189,137.106401,-132.0211,270.0,top
Q19,153.106401,-132.0211,270.0,top
Q190,138.950001,-129.143,180.0,top
Q191,161.106401,-100.0211,270.0,top
Q192,162.950001,-97.143,180.0,top
Q193,145.106401,-76.0211,270.0,top
Q194,146.950001,-73.143,180.0,top
Q195,177.106401,-108.0211,270.0,top
Q196,178.950001,-105.143,180.0,top
Q197,129.106401,-140.0211,270.0,top
Q198,130.950001,-137.143,180.0,top
Q199,121.106401,-68.0211,270.0,top
Q2,114.950001,-129.143,180.0,top
Q20,154.950001,-129.143,180.0,top
Q200,122.950001,-65.143,180.0,top
Q21,129.106401,-84.0211,270.0,top
Q22,130.950001,-81.143,180.0,top
Q23,145.106401,-116.0211,270.0,top
Q24,146.950001,-113.143,180.0,top
Q25,185.106401,-124.0211,270.0,top
Q26,186.950001,-121.143,180.0,top
Q27,129.106401,-100.0211,270.0,top
Q28,130.950001,-97.143,180.0,top
Q29,129.106401,-116.0211,270.0,top
Q3,129.106401,-68.0211,270.0,top
Q30,130.950001,-113.143,180.0,top
Q31,161.106401,-68.0211,270.0,top
Q32,162.950001,-65.143,180.0,top
Q33,161.106401,-92.0211,270.0,top
Q34,162.950001,-89.143,180.0,top
Q35,113.106401,-116.0211,270.0,top
Q36,114.950001,-113.143,180.0,top
Q37,177.106401,-116.0211,270.0,top
Q38,178.950001,-113.143,180.0,top
Q39,145.106401,-68.0211,270.0,top
Q4,130.950001,-65.143,180.0,top
Q40,146.950001,-65.143,180.0,top
Q41,177.106401,-68.0211,270.0,top
Q42,178.950001,-65.143,180.0,top
Q43,185.106401,-108.0211,270.0,top
Q44,186.950001,-105.143,180.0,top
Q45,145.106401,-124.0211,270.0,top
Q46,146.950001,-121.143,180.0,top
Q47,177.106401,-92.0211,270.0,top
Q48,178.950001,-89.143,180.0,top
Q49,121.106401,-76.0211,270.0,top
Q5,113.106401,-140.0211,270.0,top
Q50,122.950001,-73.143,180.0,top
Q51,185.106401,-76.0211,270.0,top
Q52,186.950001,-73.143,180.0,top
Q53,169.106401,-140.0211,270.0,top
Q54,170.950001,-137.143,180.0,top
Q55,137.106401,-124.0211,270.0,top
Q56,138.950001,-121.143,180.0,top
Q57,169.106401,-76.0211,270.0,top
Q58,170.950001,-73.143,180.0,top
Q59,121.106401,-124.0211,270.0,top
Q6,114.950001,-137.143,180.0,top
Q60,122.950001,-121.143,180.0,top
Q61,129.106401,-76.0211,270.0,top
Q62,130.950001,-73.143,180.0,top
Q63,161.106401,-132.0211,270.0,top
Q64,162.950001,-129.143,180.0,top
Q65,145.106401,-132.0211,270.0,top
Q66,146.950001,-129.143,180.0,top
Q67,137.106401,-100.0211,270.0,top
Q68,138.950001,-97.143,180.0,top
Q69,169.106401,-92.0211,270.0,top
Q7,113.106401,-84.0211,270.0,top
Q70,170.950001,-89.143,180.0,top
