Designator,Mid X,Mid Y,Rotation,Layer
L1,114.019601,-113.5233,0.0,bottom
L10,164.0696,-113.5233,0.0,bottom
L100,124.0696,-33.524,0.0,bottom
L11,134.0696,-53.5233,0.0,bottom
L12,154.0696,-93.5233,0.0,bottom
L13,204.0696,-103.5233,0.0,bottom
L14,134.0696,-73.5233,0.0,bottom
L15,134.0696,-93.5233,0.0,bottom
L16,174.0696,-33.524,0.0,bottom
L17,174.0696,-63.5233,0.0,bottom
L18,114.019601,-93.5233,0.0,bottom
L19,194.0696,-93.5233,0.0,bottom
L2,134.0696,-33.524,0.0,bottom
L20,154.0696,-33.524,0.0,bottom
L21,194.0696,-33.524,0.0,bottom
L22,204.0696,-83.5233,0.0,bottom
L23,154.0696,-103.5233,0.0,bottom
L24,194.0696,-63.5233,0.0,bottom
L25,124.0696,-43.5233,0.0,bottom
L26,204.0696,-43.5233,0.0,bottom
L27,184.0696,-123.5233,0.0,bottom
L28,144.0696,-103.5233,0.0,bottom
L29,184.0696,-43.5233,0.0,bottom
L3,114.019601,-123.5233,0.0,bottom
L30,124.0696,-103.5233,0.0,bottom
L31,134.0696,-43.5233,0.0,bottom
L32,174.0696,-113.5233,0.0,bottom
L33,154.0696,-113.5233,0.0,bottom
L34,144.0696,-73.5233,0.0,bottom
L35,184.0696,-63.5233,0.0,bottom
L36,154.0696,-83.5233,0.0,bottom
L37,204.0696,-113.5233,0.0,bottom
L38,164.0696,-33.524,0.0,bottom
L39,164.0696,-83.5233,0.0,bottom
L4,114.019601,-53.5233,0.0,bottom
L40,114.019601,-43.5233,0.0,bottom
L41,184.0696,-93.5233,0.0,bottom
L42,164.0696,-53.5233,0.0,bottom
L43,144.0696,-83.5233,0.0,bottom
L44,194.0696,-43.5233,0.0,bottom
L45,174.0696,-93.5233,0.0,bottom
L46,204.0696,-33.524,0.0,bottom
L47,154.0696,-53.5233,0.0,bottom
L48,114.019601,-103.5233,0.0,bottom
L49,124.0696,-123.5233,0.0,bottom
L5,134.0696,-83.5233,0.0,bottom
L50,164.0696,-123.5233,0.0,bottom
L51,184.0696,-113.5233,0.0,bottom
L52,144.0696,-53.5233,0.0,bottom
L53,174.0696,-123.5233,0.0,bottom
L54,124.0696,-93.5233,0.0,bottom
L55,124.0696,-63.5233,0.0,bottom
L56,114.0696,-33.5,0.0,bottom
L57,184.0696,-83.5233,0.0,bottom
L58,194.0696,-123.5233,0.0,bottom
L59,164.0696,-63.5233,0.0,bottom
L6,184.0696,-73.5233,0.0,bottom
L60,164.0696,-43.5233,0.0,bottom
L61,174.0696,-103.5233,0.0,bottom
L62,184.0696,-103.5233,0.0,bottom
L63,134.0696,-113.5233,0.0,bottom
L64,194.0696,-113.5233,0.0,bottom
L65,144.0696,-63.5233,0.0,bottom
L66,194.0696,-103.5233,0.0,bottom
L67,164.0696,-73.5233,0.0,bottom
L68,204.0696,-93.5233,0.0,bottom
L69,144.0696,-93.5233,0.0,bottom
L7,144.0696,-43.5233,0.0,bottom
L70,114.019601,-73.5233,0.0,bottom
L71,204.0696,-73.5233,0.0,bottom
L72,134.0696,-103.5233,0.0,bottom
L73,154.0696,-73.5233,0.0,bottom
L74,114.019601,-63.5233,0.0,bottom
L75,194.0696,-53.5233,0.0,bottom
L76,174.0696,-43.5233,0.0,bottom
L77,114.019601,-83.5233,0.0,bottom
L78,124.0696,-73.5233,0.0,bottom
