% Model,NonlinearSpring_EcoFlex10.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 30 2025, 10:06"
% Table,Table 1 - Surface Integration 1
% Displacement (mm),"Reaction force, y-component (N)"
0,0
0.05,-0.07647761112996271
0.1,-0.15888144634796603
0.15000000000000002,-0.24805804048330948
0.2,-0.3448919866390753
0.25,-0.4503323901023688
0.30000000000000004,-0.5653596336412599
0.35000000000000003,-0.6912379180207439
0.4,-0.8299885641890233
0.45000000000000007,-0.9850109632614292
0.5,-1.1605840806778183
0.55,-1.361798789342057
0.6000000000000001,-1.5936870626382984
0.6500000000000001,-1.8614092979297259
0.7000000000000001,-2.1704200574764987
0.75,-2.524366697356428
