% Model,NonlinearSpring_EcoFlex10.mph
% Version,COMSOL 6.2.0.290
% Date,"Jun 1 2025, 08:35"
% Table,Table 1 - Surface Integration 1
% Displacement (mm),"Reaction force, y-component (N)"
0,0
0.05,-0.021851154974138743
0.1,-0.04436516123665415
0.15000000000000002,-0.06761667017508255
0.2,-0.0916811287816671
0.25,-0.1166341807742686
0.30000000000000004,-0.14255193461816845
0.35000000000000003,-0.16951100775132535
0.4,-0.1975873491608409
0.45000000000000007,-0.2268538187019711
0.5,-0.2573802995888001
0.55,-0.28924730989703445
0.6000000000000001,-0.3225579535055492
0.6500000000000001,-0.35741101797489183
0.7000000000000001,-0.3938907233327037
0.75,-0.43208611358610755
