% Model,LightTouch_ShieldOnly.mph
% Version,COMSOL 6.2.0.290
% Date,"Jun 17 2025, 18:57"
% Table,Table 1 - Global Evaluation 1
% Position (mm),"Electromagnetic force, z component (N)"
0,-0.01971471700509298
0.25,-0.01805964561291094
0.5,-0.01749417040132313
0.75,-0.01455140908627106
1,-0.013883644025223131
1.25,-0.013592057094426254
1.5,-0.014570724048637868
1.75,-0.014779664401962548
2,-0.015006839762843066
2.2500000000000004,-0.017672508579898986
2.5,-0.01945935756249599
2.75,-0.02092527599416901
3,-0.025047870327888917
3.2500000000000004,-0.027695928995600236
3.5,-0.029410870879963143
3.75,-0.03250525886401458
4,-0.036051818083111954
4.25,-0.037773068293833006
4.500000000000001,-0.0379262459226374
4.75,-0.03772334400044134
5,-0.03652422149118307
5.25,-0.03592168891124401
5.5,-0.03220232899820752
5.75,-0.028972644969698345
6,-0.024939300758116033
