% Model,LightTouch_Shielded.mph
% Version,COMSOL 6.2.0.290
% Date,"Jun 17 2025, 18:47"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,0,-0.7866313713699411
0,0.1,-0.7764099791639608
0,0.2,-0.7657797429539352
0,0.30000000000000004,-0.7545743884586216
0,0.4,-0.7426374565869079
0,0.5,-0.7296332550561764
0,0.6000000000000001,-0.7152311223208123
0,0.7000000000000001,-0.6991704132873973
0,0.8,-0.6813628581086937
0,0.9,-0.6614829923389624
0,1,-0.6394491661555284
0,1.1,-0.6151236289662972
0,1.2000000000000002,-0.5884437388661525
0,1.3,-0.5593445456917574
0,1.4000000000000001,-0.5277465289136799
0,1.5,-0.4935268593783255
0,1.6,-0.4566329958450689
0,1.7000000000000002,-0.4168811600485491
0,1.8,-0.37506205441856555
0,1.9000000000000001,-0.3352744466229674
0,2,-0.2998656128064421
0,2.1,-0.26943392330405447
0,2.2,-0.2411264199732734
0,2.3000000000000003,-0.2141397461866329
0,2.4000000000000004,-0.18818711246544423
0,2.5,-0.16307951024709422
0,2.6,-0.13871041566040493
0,2.7,-0.11495295213129597
0,2.8000000000000003,-0.09177446429814057
0,2.9000000000000004,-0.06908673243923152
0,3,-0.046877123520643105
0,3.1,-0.025066841973917287
0,3.2,-0.0036810678081855563
0,3.3000000000000003,0.017320207602067983
0,3.4000000000000004,0.03794458347330415
0,3.5,0.058244231374866395
0,3.6,0.07826013453151409
0,3.7,0.09798593173500403
0,3.8000000000000003,0.11747188088066235
0,3.9000000000000004,0.1367297243202497
0,4,0.1557732020676112
0,4.1000000000000005,0.17463945155416433
0,4.2,0.1932954900437498
0,4.3,0.21172811577591066
0,4.4,0.2300096159305351
0,4.5,0.248145605629099
0,4.6000000000000005,0.2663119711760748
0.25,0,-1.2538558440062402
0.25,0.1,-1.2435295941485318
0.25,0.2,-1.2324645378853076
0.25,0.30000000000000004,-1.2204067273496695
0.25,0.4,-1.2068811806904738
0.25,0.5,-1.1911576109090038
0.25,0.6000000000000001,-1.1731844225174264
0.25,0.7000000000000001,-1.1521250318620646
0.25,0.8,-1.127679443984899
0.25,0.9,-1.0994470099611295
0.25,1,-1.0668562517516862
0.25,1.1,-1.0286336814649037
0.25,1.2000000000000002,-0.9864466354834431
0.25,1.3,-0.9422654212002307
0.25,1.4000000000000001,-0.8972606875435687
0.25,1.5,-0.8522428658249178
0.25,1.6,-0.8088947962811042
0.25,1.7000000000000002,-0.7704483171450062
0.25,1.8,-0.7375898792528174
0.25,1.9000000000000001,-0.7089415092260086
0.25,2,-0.6821471423253243
0.25,2.1,-0.6566654477549748
0.25,2.2,-0.6322124173024533
0.25,2.3000000000000003,-0.608650797323018
0.25,2.4000000000000004,-0.585841979607776
0.25,2.5,-0.5637011655811103
0.25,2.6,-0.5421553618037147
0.25,2.7,-0.5211558714762934
0.25,2.8000000000000003,-0.5006600179757053
0.25,2.9000000000000004,-0.4805932017906459
0.25,3,-0.4609478416991019
0.25,3.1,-0.4417174661830048
0.25,3.2,-0.4228339137815247
0.25,3.3000000000000003,-0.404369911935636
0.25,3.4000000000000004,-0.3862480966378703
0.25,3.5,-0.36838693741207396
0.25,3.6,-0.3508116138786338
0.25,3.7,-0.33345822586480167
0.25,3.8000000000000003,-0.3163404260808785
0.25,3.9000000000000004,-0.2994431628245554
0.25,4,-0.2827372433300559
0.25,4.1000000000000005,-0.2662117164686666
0.25,4.2,-0.249877218548301
0.25,4.3,-0.2336506688699203
0.25,4.4,-0.21763660812132105
0.25,4.5,-0.20171269679582454
0.25,4.6000000000000005,-0.18594455252648542
0.5,0,-0.9205002984705197
0.5,0.1,-0.9117582996081591
0.5,0.2,-0.902019522787919
0.5,0.30000000000000004,-0.8906244558434089
0.5,0.4,-0.8766199882137397
0.5,0.5,-0.8589874882274093
0.5,0.6000000000000001,-0.8356251409734372
0.5,0.7000000000000001,-0.8045850415552456
0.5,0.8,-0.7689870487186411
0.5,0.9,-0.7312484973574293
0.5,1,-0.6924217325021075
0.5,1.1,-0.652927870155008
0.5,1.2000000000000002,-0.6130947757068748
0.5,1.3,-0.573588928441092
0.5,1.4000000000000001,-0.5359758602227851
0.5,1.5,-0.5032721499410368
0.5,1.6,-0.4758249511183143
0.5,1.7000000000000002,-0.4520230526447233
0.5,1.8,-0.4299433488941213
0.5,1.9000000000000001,-0.4090934089347941
0.5,2,-0.3892075478857656
0.5,2.1,-0.3701175999217681
0.5,2.2,-0.3517908163705075
0.5,2.3000000000000003,-0.33402438212848856
0.5,2.4000000000000004,-0.3168063390073184
0.5,2.5,-0.30006722075533265
0.5,2.6,-0.28375715412904357
0.5,2.7,-0.26786853668338684
0.5,2.8000000000000003,-0.25234806087053124
0.5,2.9000000000000004,-0.23720101105518943
0.5,3,-0.22237651207388862
0.5,3.1,-0.20787781060966432
0.5,3.2,-0.19363401601068522
0.5,3.3000000000000003,-0.1796522856392768
0.5,3.4000000000000004,-0.16589368465146084
0.5,3.5,-0.1523485724757092
0.5,3.6,-0.13895634508112137
0.5,3.7,-0.12573829372211057
0.5,3.8000000000000003,-0.11274274259154594
0.5,3.9000000000000004,-0.09994777949494639
0.5,4,-0.08724211973444776
0.5,4.1000000000000005,-0.07468578951308869
0.5,4.2,-0.06218627577163535
0.5,4.3,-0.04986521848501309
0.5,4.4,-0.037617183226952414
0.5,4.5,-0.025469921365368
0.5,4.6000000000000005,-0.013440848276999658
0.75,0,-0.6744336871148193
0.75,0.1,-0.668867634902193
0.75,0.2,-0.6613822873721253
0.75,0.30000000000000004,-0.6491480854005174
0.75,0.4,-0.6277992515840526
0.75,0.5,-0.59873307997332
0.75,0.6000000000000001,-0.5661770609031107
0.75,0.7000000000000001,-0.5325751855194014
0.75,0.8,-0.49852481941202686
0.75,0.9,-0.4641591552175726
0.75,1,-0.42962471922924955
0.75,1.1,-0.39528480725188764
0.75,1.2000000000000002,-0.36228031526218935
0.75,1.3,-0.3335187956390989
0.75,1.4000000000000001,-0.30941243857108347
0.75,1.5,-0.28934987986135685
0.75,1.6,-0.271045026047957
0.75,1.7000000000000002,-0.25393346598678934
0.75,1.8,-0.2377548567275133
0.75,1.9000000000000001,-0.22235880053511234
0.75,2,-0.20760871834835465
0.75,2.1,-0.1934338117811347
0.75,2.2,-0.1797330274147404
0.75,2.3000000000000003,-0.16647239511549017
0.75,2.4000000000000004,-0.15357632462665674
0.75,2.5,-0.14103477187669491
0.75,2.6,-0.12880640609708574
0.75,2.7,-0.1168953334075921
0.75,2.8000000000000003,-0.10524580239574738
0.75,2.9000000000000004,-0.09388371556921044
0.75,3,-0.0827253324487757
0.75,3.1,-0.07179595814295185
0.75,3.2,-0.06106957227938531
0.75,3.3000000000000003,-0.05045242796446549
0.75,3.4000000000000004,-0.040068157691449405
0.75,3.5,-0.02986635692940029
0.75,3.6,-0.01976307154937019
0.75,3.7,-0.009776324714347544
0.75,3.8000000000000003,1.0587725155261803E-4
0.75,3.9000000000000004,0.009913389235484479
0.75,4,0.019598752430618663
0.75,4.1000000000000005,0.02924224646623111
0.75,4.2,0.03875290848273871
0.75,4.3,0.04816505724074215
0.75,4.4,0.05752332049386038
0.75,4.5,0.06682127113002442
0.75,4.6000000000000005,0.07605667111109815
1,0,-0.47238634730758533
1,0.1,-0.46813434596768805
1,0.2,-0.4614568081570132
1,0.30000000000000004,-0.4485889595902617
1,0.4,-0.42656190313186215
1,0.5,-0.3987713905987109
1,0.6000000000000001,-0.3693485225225956
1,0.7000000000000001,-0.3396244026029339
1,0.8,-0.3097871532143892
1,0.9,-0.280075999660463
1,1,-0.25117677356103013
1,1.1,-0.22491916679556653
1,1.2000000000000002,-0.2030496072934084
1,1.3,-0.1853878895637192
1,1.4000000000000001,-0.17009492344022287
1,1.5,-0.15606608530155386
1,1.6,-0.14296088800484946
1,1.7000000000000002,-0.13058929792766263
1,1.8,-0.118824690204652
1,1.9000000000000001,-0.10757250548810797
1,2,-0.09675538381766062
1,2.1,-0.0863199955885007
1,2.2,-0.07621589097158245
1,2.3000000000000003,-0.06640008318346446
1,2.4000000000000004,-0.05684845957697168
1,2.5,-0.04753205776316277
1,2.6,-0.038446115414700444
1,2.7,-0.029565794230439958
1,2.8000000000000003,-0.02088617198225997
1,2.9000000000000004,-0.012377422408232506
1,3,-0.004026872990863543
1,3.1,0.004179381231898479
1,3.2,0.012259662720325687
1,3.3000000000000003,0.02022879856679969
1,3.4000000000000004,0.028097885722773296
1,3.5,0.03587498981103194
1,3.6,0.043571370583668875
1,3.7,0.051197989627577656
1,3.8000000000000003,0.05874923880019587
1,3.9000000000000004,0.0662332283022999
1,4,0.07365651779167498
1,4.1000000000000005,0.0810229225670494
1,4.2,0.08833763456050396
1,4.3,0.09559696264151557
1,4.4,0.10280769171110433
1,4.5,0.10997460294143335
1,4.6000000000000005,0.11709585442313916
1.25,0,-0.32875334122609157
1.25,0.1,-0.3240030792716714
1.25,0.2,-0.3151970974349173
1.25,0.30000000000000004,-0.29968042467687195
1.25,0.4,-0.2800479562450824
1.25,0.5,-0.25753737902762514
1.25,0.6000000000000001,-0.23266493261508434
1.25,0.7000000000000001,-0.20751894915243385
1.25,0.8,-0.18263319338767317
1.25,0.9,-0.15880919766679782
1.25,1,-0.1380783979978935
1.25,1.1,-0.12114470862044839
1.25,1.2000000000000002,-0.10777257060214933
1.25,1.3,-0.09610178120644855
1.25,1.4000000000000001,-0.0854408016612554
1.25,1.5,-0.07552287206373709
1.25,1.6,-0.06619483848343645
1.25,1.7000000000000002,-0.057339585512900755
1.25,1.8,-0.04887305657930636
1.25,1.9000000000000001,-0.040735858787335606
1.25,2,-0.03287471837546828
1.25,2.1,-0.02525396287138583
1.25,2.2,-0.017834484213216206
1.25,2.3000000000000003,-0.010597239006956997
1.25,2.4000000000000004,-0.00352010144259942
1.25,2.5,0.003396825234425034
1.25,2.6,0.010173125166062587
1.25,2.7,0.016808064431024276
1.25,2.8000000000000003,0.023323056680450677
1.25,2.9000000000000004,0.029729901782143166
1.25,3,0.036043492324921905
1.25,3.1,0.04227597419287721
1.25,3.2,0.0484399525937453
1.25,3.3000000000000003,0.054540645524487015
1.25,3.4000000000000004,0.06058550689232081
1.25,3.5,0.06658019225015169
1.25,3.6,0.07252742125175843
1.25,3.7,0.0784318829739992
1.25,3.8000000000000003,0.08429449795160818
1.25,3.9000000000000004,0.09011891579866325
1.25,4,0.09590903280176725
1.25,4.1000000000000005,0.10166588064025285
1.25,4.2,0.1073914589224675
1.25,4.3,0.11308751779035355
1.25,4.4,0.11875547475641325
1.25,4.5,0.1243952520016743
1.25,4.6000000000000005,0.13000992959204588
1.5,0,-0.2323355632338777
1.5,0.1,-0.2262595513093488
1.5,0.2,-0.215032284445683
1.5,0.30000000000000004,-0.19886982706874476
1.5,0.4,-0.1814466800792544
1.5,0.5,-0.16269250339985802
1.5,0.6000000000000001,-0.1425092482992291
1.5,0.7000000000000001,-0.1221134143512124
1.5,0.8,-0.1026429783483517
1.5,0.9,-0.0859181324861501
1.5,1,-0.0724215818871886
1.5,1.1,-0.0618965673293213
1.5,1.2000000000000002,-0.05282452193142438
1.5,1.3,-0.04459639707461273
1.5,1.4000000000000001,-0.03699202271356289
1.5,1.5,-0.02985610217884246
1.5,1.6,-0.02309316351941438
1.5,1.7000000000000002,-0.016635314409170814
1.5,1.8,-0.010420612219305835
1.5,1.9000000000000001,-0.004403415827569276
1.5,2,0.0014458187210234612
1.5,2.1,0.007156272876703229
1.5,2.2,0.012748297165450796
1.5,2.3000000000000003,0.018233178147020725
1.5,2.4000000000000004,0.023614288445524614
1.5,2.5,0.02889814133647528
1.5,2.6,0.03408649836050624
1.5,2.7,0.03919442729922387
1.5,2.8000000000000003,0.04423750747806336
1.5,2.9000000000000004,0.049219292466242855
1.5,3,0.054151865044864245
1.5,3.1,0.05904244548393577
1.5,3.2,0.06389209332853084
1.5,3.3000000000000003,0.06870570781266329
1.5,3.4000000000000004,0.07348787520318695
1.5,3.5,0.07823956568141671
1.5,3.6,0.08296381423098735
1.5,3.7,0.08766324419843267
1.5,3.8000000000000003,0.09233973192553972
1.5,3.9000000000000004,0.09699425165280845
1.5,4,0.10162759581056405
1.5,4.1000000000000005,0.10624134048601099
1.5,4.2,0.11083549028903998
1.5,4.3,0.11541195722371043
1.5,4.4,0.11997087242872469
1.5,4.5,0.12451298075971702
1.5,4.6000000000000005,0.1290391245445343
1.75,0,-0.17029089774479111
1.75,0.1,-0.16289814949093895
1.75,0.2,-0.14995235339192586
1.75,0.30000000000000004,-0.1347146783304593
1.75,0.4,-0.11916962515722486
1.75,0.5,-0.10308337446170757
1.75,0.6000000000000001,-0.08660413705471592
1.75,0.7000000000000001,-0.07055283178833971
1.75,0.8,-0.056512454542168175
1.75,0.9,-0.04535039993453954
1.75,1,-0.03666326820608219
1.75,1.1,-0.029444094779681716
1.75,1.2000000000000002,-0.022959093685790424
1.75,1.3,-0.017001241367472143
1.75,1.4000000000000001,-0.011426186373323991
1.75,1.5,-0.0061480504046447365
1.75,1.6,-0.001099900171094178
1.75,1.7000000000000002,0.003767559935194155
1.75,1.8,0.008490578372984154
1.75,1.9000000000000001,0.013096880281922286
1.75,2,0.017605312132033313
1.75,2.1,0.022034025543336343
1.75,2.2,0.026387499449827885
1.75,2.3000000000000003,0.030677607101185715
1.75,2.4000000000000004,0.03489875941472508
1.75,2.5,0.039063829054057836
1.75,2.6,0.04317023227623536
1.75,2.7,0.04723381645281638
1.75,2.8000000000000003,0.05125464224976514
1.75,2.9000000000000004,0.0552405002011499
1.75,3,0.05919575709594775
1.75,3.1,0.06312500140534504
1.75,3.2,0.06703020535865137
1.75,3.3000000000000003,0.07091446083914724
1.75,3.4000000000000004,0.07477924908197478
1.75,3.5,0.07862561146631707
1.75,3.6,0.08245531455573678
1.75,3.7,0.0862684567673142
1.75,3.8000000000000003,0.09006720705852343
1.75,3.9000000000000004,0.09385282947818126
1.75,4,0.09762552950811089
1.75,4.1000000000000005,0.10138634378365294
1.75,4.2,0.10513513848057758
1.75,4.3,0.10887242191569715
1.75,4.4,0.11259812430921694
1.75,4.5,0.11631425627818746
1.75,4.6000000000000005,0.12002093690459635
2,0,-0.12843670307975358
2,0.1,-0.11954706531940174
2,0.2,-0.1065830687468457
2,0.30000000000000004,-0.09276010115433024
2,0.4,-0.07888935835400458
2,0.5,-0.06493559820483061
2,0.6000000000000001,-0.05151237269361641
2,0.7000000000000001,-0.03939883314520092
2,0.8,-0.029819225620241606
2,0.9,-0.02227146210760768
2,1,-0.01635145399700371
2,1.1,-0.011144216498838035
2,1.2000000000000002,-0.006394583449703211
2,1.3,-0.00196558833567069
2,1.4000000000000001,0.0022254310420570973
2,1.5,0.006242124408683403
2,1.6,0.010126009190125488
2,1.7000000000000002,0.013904519617129966
2,1.8,0.01760275094139463
2,1.9000000000000001,0.021232837788749633
2,2,0.024808804528812733
2,2.1,0.028339546303382618
2,2.2,0.0318318234166284
2,2.3000000000000003,0.03528302475569164
2,2.4000000000000004,0.03869477633150515
2,2.5,0.04206422329468536
2,2.6,0.04539774221840158
2,2.7,0.04870204852123427
2,2.8000000000000003,0.051978144156159714
2,2.9000000000000004,0.055231338466578614
2,3,0.05846478025772768
2,3.1,0.06167873497160724
2,3.2,0.0648762177944695
2,3.3000000000000003,0.0680598865559365
2,3.4000000000000004,0.07123128647106425
2,3.5,0.07439107496232289
2,3.6,0.07753949961414097
2,3.7,0.08067671721841786
2,3.8000000000000003,0.08380447023587582
2,3.9000000000000004,0.08692410134448533
2,4,0.09003556624096519
2,4.1000000000000005,0.09313940710637839
2,4.2,0.09623687380066165
2,4.3,0.09932709198046621
2,4.4,0.10241068359961705
2,4.5,0.10548897476859648
2,4.6000000000000005,0.10856194103914503
2.2500000000000004,0,-0.10008125177081728
2.2500000000000004,0.1,-0.09025977802518699
2.2500000000000004,0.2,-0.07815903035502816
2.2500000000000004,0.30000000000000004,-0.06581372831616233
2.2500000000000004,0.4,-0.05346001907570809
2.2500000000000004,0.5,-0.04143982983613123
2.2500000000000004,0.6000000000000001,-0.030680445912456507
2.2500000000000004,0.7000000000000001,-0.021983826310298396
2.2500000000000004,0.8,-0.01521422282177197
2.2500000000000004,0.9,-0.010112175463221748
2.2500000000000004,1,-0.005823553832996965
2.2500000000000004,1.1,-0.0019662448172503566
2.2500000000000004,1.2000000000000002,0.0016079458395233236
2.2500000000000004,1.3,0.004984638539667402
2.2500000000000004,1.4000000000000001,0.008225670458038098
2.2500000000000004,1.5,0.011364865763376319
2.2500000000000004,1.6,0.014427624536805286
2.2500000000000004,1.7000000000000002,0.017433354921730204
