% Model,LightTouch_Unshielded.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 29 2025, 18:42"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,0.1075594916530393
0,0,-0.7804693604923846
0,3.85,-1.105823489432942
0.25,-3.85,-0.3118896398647779
0.25,0,-1.2233863371435736
0.25,3.85,-1.5025020431714848
0.5,-3.85,-0.11058854950910908
0.5,0,-0.8861650011452933
0.5,3.85,-1.0498101406556226
0.75,-3.85,4.7632521852752734E-4
0.75,0,-0.635366515538656
0.75,3.85,-0.735090738641796
1,-3.85,0.05843865264861001
1,0,-0.4320157134767168
1,3.85,-0.5170009804054809
1.25,-3.85,0.0838095000517901
1.25,0,-0.29153691566263207
1.25,3.85,-0.36980564453945086
1.5,-3.85,0.09275738496247285
1.5,0,-0.19942415959073684
1.5,3.85,-0.27457902292964625
1.75,-3.85,0.09269361661080305
1.75,0,-0.14062120159338318
1.75,3.85,-0.21301534690499055
2,-3.85,0.08863294583123407
2,0,-0.10193606241125569
2,3.85,-0.17078608895171085
2.2500000000000004,-3.85,0.08350299331554145
2.2500000000000004,0,-0.07483488686181688
2.2500000000000004,3.85,-0.13961753090865886
2.5,-3.85,0.07723998483612483
2.5,0,-0.0559857102074307
2.5,3.85,-0.11654082764241025
2.75,-3.85,0.07035813274374854
2.75,0,-0.04283551071090199
2.75,3.85,-0.09914298981829453
3,-3.85,0.06305115998168644
3,0,-0.03396437140355173
3,3.85,-0.08605231240608668
3.2500000000000004,-3.85,0.05793753326312887
3.2500000000000004,0,-0.02583351032333865
3.2500000000000004,3.85,-0.07383665082854197
3.5,-3.85,0.05185170482045452
3.5,0,-0.02094360342005083
3.5,3.85,-0.06505533876772385
3.75,-3.85,0.046869530402728926
3.75,0,-0.01676181616609987
3.75,3.85,-0.05720921580519853
4,-3.85,0.04215956418368865
4,0,-0.01374884868668196
4,3.85,-0.05079943556121061
4.25,-3.85,0.038012301908196794
4.25,0,-0.011337935301821306
4.25,3.85,-0.04525386752577332
4.500000000000001,-3.85,0.034110926118928984
4.500000000000001,0,-0.009632672631760287
4.500000000000001,3.85,-0.04066886919955298
4.75,-3.85,0.031518433175276486
4.75,0,-0.0074061479492285
4.75,3.85,-0.03581053920724991
5,-3.85,0.02805946633352612
5,0,-0.006704763922804043
5,3.85,-0.03271351125784831
5.25,-3.85,0.02574130188696921
5.25,0,-0.005409641483098833
5.25,3.85,-0.029239216312791846
5.5,-3.85,0.023878807540429838
5.5,0,-0.004119443157891355
5.5,3.85,-0.02596880564740884
5.75,-3.85,0.02117633061561255
5.75,0,-0.00406358341719776
5.75,3.85,-0.024116881713572742
6,-3.85,0.01956904315155079
6,0,-0.0032452783631736737
6,3.85,-0.02166746972342734
6.25,-3.85,0.017493191437218274
6.25,0,-0.0031833013658824853
6.25,3.85,-0.02012612517672954
6.500000000000001,-3.85,0.016121934793961467
6.500000000000001,0,-0.0026627912898992342
6.500000000000001,3.85,-0.018262156652591635
6.75,-3.85,0.014422907821845089
6.75,0,-0.0026831236683393625
6.75,3.85,-0.017062100885314204
7,-3.85,0.013616959269796482
7,0,-0.0019954491791688332
7,3.85,-0.015265395637746988
7.25,-3.85,0.013166792391731505
7.25,0,-0.001110152916607349
7.25,3.85,-0.013368891817150272
7.5,-3.85,0.012303983317790394
7.5,0,-7.802809743574866E-4
7.5,3.85,-0.012119901999322924
7.75,-3.85,0.011506842545763799
7.75,0,-5.067471524648976E-4
7.75,3.85,-0.011007806755380656
8,-3.85,0.010194759436644529
8,0,-8.558664850854356E-4
8,3.85,-0.010591529845875249
8.25,-3.85,0.008792659347893693
8.25,0,-0.0013905110801777695
8.25,3.85,-0.010427317988611936
8.5,-3.85,0.008190985534180656
8.5,0,-0.0012080845806256124
8.5,3.85,-0.00960524752160125
8.75,-3.85,0.008555701186646942
8.75,0,-1.336259484024955E-4
8.75,3.85,-0.007945103381270243
9.000000000000002,-3.85,0.007731708154902405
9.000000000000002,0,-3.139143885985537E-4
9.000000000000002,3.85,-0.00758855299425603
9.25,-3.85,0.007340829944223547
9.25,0,-1.1939754930996203E-4
9.25,3.85,-0.0069009670142840505
9.5,-3.85,0.0056660215810219895
9.5,0,-0.0012629181813667203
9.5,3.85,-0.007592948926379033
9.75,-3.85,0.0063061386763163
9.75,0,-1.3652590327483966E-4
9.75,3.85,-0.006049691958392592
10,-3.85,0.005442689432064924
10,0,-5.561101717102661E-4
10,3.85,-0.00608577015567525
