% Model,LightTouch_Unshielded.mph
% Version,COMSOL 6.2.0.290
% Date,"Jun 17 2025, 13:13"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,0,-0.7804693604923614
0,0.1,-0.7706351536607531
0,0.2,-0.76050772272091
0,0.30000000000000004,-0.7498116351564671
0,0.4,-0.7383486006601937
0,0.5,-0.7259410839741002
0,0.6000000000000001,-0.7121294542725796
0,0.7000000000000001,-0.6965815230822726
0,0.8,-0.6792684725358099
0,0.9,-0.6600335666754855
0,1,-0.6386426950135338
0,1.1,-0.6151233555340425
0,1.2000000000000002,-0.5894484632536254
0,1.3,-0.5615815192315581
0,1.4000000000000001,-0.5314592307113134
0,1.5,-0.49900542072633336
0,1.6,-0.4639880436900207
0,1.7000000000000002,-0.4260623805935173
0,1.8,-0.3865289749236456
0,1.9000000000000001,-0.347169658761683
0,2,-0.3105649187982004
0,2.1,-0.2777407459005776
0,2.2,-0.24927070294996795
0,2.3000000000000003,-0.22274234150301153
0,2.4000000000000004,-0.19742288772482752
0,2.5,-0.1730351371926307
0,2.6,-0.14940593321873724
0,2.7,-0.12642812942210746
0,2.8000000000000003,-0.10402003118464737
0,2.9000000000000004,-0.08210438238330636
0,3,-0.06065481295077846
0,3.1,-0.03959490009665545
0,3.2,-0.018923643887944597
0,3.3000000000000003,0.0013745715197965303
0,3.4000000000000004,0.02133615466441574
0,3.5,0.040977423395586354
0,3.6,0.060325944928249164
0,3.7,0.07940097445479227
0,3.8000000000000003,0.09823963815858039
0,3.9000000000000004,0.11682242216536604
0,4,0.1352068906754904
0,4.1000000000000005,0.15334616908422616
0,4.2,0.17130152067544985
0,4.3,0.1890746888043941
0,4.4,0.2066878753097452
0,4.5,0.2241540042640625
0,4.6000000000000005,0.24146725066406155
0.25,0,-1.2233863371435723
0.25,0.1,-1.213670561310626
0.25,0.2,-1.2032106644947946
0.25,0.30000000000000004,-1.191787428657966
0.25,0.4,-1.1788258378868695
0.25,0.5,-1.163883311691343
0.25,0.6000000000000001,-1.1462496315104524
0.25,0.7000000000000001,-1.125558663652431
0.25,0.8,-1.101450240685367
0.25,0.9,-1.0735399523710754
0.25,1,-1.0407979800361904
0.25,1.1,-1.0040659623166606
0.25,1.2000000000000002,-0.9651831896399085
0.25,1.3,-0.9251814008060462
0.25,1.4000000000000001,-0.8845065271338852
0.25,1.5,-0.8435257743160846
0.25,1.6,-0.8028206069228813
0.25,1.7000000000000002,-0.7637600123533255
0.25,1.8,-0.7288002364084228
0.25,1.9000000000000001,-0.6983394869262405
0.25,2,-0.6717021271874609
0.25,2.1,-0.646795644783918
0.25,2.2,-0.6230821324900987
0.25,2.3000000000000003,-0.6002292282247434
0.25,2.4000000000000004,-0.5783833375782614
0.25,2.5,-0.5571178771346275
0.25,2.6,-0.5364549438936106
0.25,2.7,-0.5163195778622806
0.25,2.8000000000000003,-0.49665574499007825
0.25,2.9000000000000004,-0.4774298482243599
0.25,3,-0.4586057340099642
0.25,3.1,-0.4401578920362258
0.25,3.2,-0.42208400709105387
0.25,3.3000000000000003,-0.40435660111546023
0.25,3.4000000000000004,-0.38695647516741105
0.25,3.5,-0.3698371697802638
0.25,3.6,-0.35299736069001686
0.25,3.7,-0.33638034031543956
0.25,3.8000000000000003,-0.32000567727692497
0.25,3.9000000000000004,-0.30382697354280386
0.25,4,-0.2878590498751824
0.25,4.1000000000000005,-0.2720839702770833
0.25,4.2,-0.25645322183568947
0.25,4.3,-0.24097128629310396
0.25,4.4,-0.22563702158118934
0.25,4.5,-0.210440264125556
0.25,4.6000000000000005,-0.19535776941943894
0.5,0,-0.8861650011453021
0.5,0.1,-0.8781097000641686
0.5,0.2,-0.8690036649351924
0.5,0.30000000000000004,-0.8581476010499937
0.5,0.4,-0.8443678163960959
0.5,0.5,-0.8260410092177299
0.5,0.6000000000000001,-0.8009765558505084
0.5,0.7000000000000001,-0.7711885893577417
0.5,0.8,-0.7388241497970728
0.5,0.9,-0.7051639208739965
0.5,1,-0.6707644881938237
0.5,1.1,-0.6357873895162998
0.5,1.2000000000000002,-0.6004024859585333
0.5,1.3,-0.5648453320491446
0.5,1.4000000000000001,-0.5296033230178079
0.5,1.5,-0.49611628059584323
0.5,1.6,-0.46655882044631974
0.5,1.7000000000000002,-0.4411252886233066
0.5,1.8,-0.41922086046152873
0.5,1.9000000000000001,-0.3988966504981473
0.5,2,-0.3797368630199056
0.5,2.1,-0.36143141165600096
0.5,2.2,-0.3438877940300966
0.5,2.3000000000000003,-0.3269526368358033
0.5,2.4000000000000004,-0.31056078682090765
0.5,2.5,-0.29465693683440547
0.5,2.6,-0.2791699111899267
0.5,2.7,-0.26407905002285254
0.5,2.8000000000000003,-0.24933030369655979
0.5,2.9000000000000004,-0.2349082211833094
0.5,3,-0.22079622415345607
0.5,3.1,-0.20697384753641507
