% Model,Inductor_LQW15CN3R3M10D.mph
% Version,COMSOL 6.2.0.290
% Date,"Oct 25 2024, 15:12"
% Table,Table 1 - Global Evaluation 1
% Gap (m),"Electromagnetic force, z-component (N)"
0,-0.008366229171633132
5.0E-5,-0.007650343148175719
1.0E-4,-0.006814984486423842
1.5000000000000001E-4,-0.004931419816626665
2.0E-4,-0.005745996415932986
2.5E-4,-0.0055613700777288645
3.0000000000000003E-4,-0.002273913284081797
3.5000000000000005E-4,-0.00264063989617071
4.0E-4,-0.003411909075688814
4.5000000000000004E-4,-0.002863465789293409
5.0E-4,-0.002043548187815287
5.5E-4,-0.0013274823171876126
6.000000000000001E-4,-1.717470625494169E-5
6.500000000000001E-4,-0.002632411148804078
7.000000000000001E-4,-0.0019359348504743648
7.5E-4,-0.002236743215084519
8.0E-4,0.002335707365558914
8.500000000000001E-4,8.032951328249137E-4
9.000000000000001E-4,-5.022049010112448E-4
9.500000000000001E-4,0.0025035921104768766
0.001,-2.63845183414331E-4
0.0010500000000000002,-0.00373728779634954
0.0011,-7.369165484888492E-4
0.0011500000000000002,-0.002968549015502534
0.0012000000000000001,-0.0020181867088441933
