% Model:              EM_Axisymmetric.mph
% Version:            COMSOL 6.2.0.290
% Date:               Nov 25 2024, 16:59
% Table:              Table 1 - Global Evaluation 1
% Current (A)            Position (mm)            Electromagnetic force, z component (N)
-0.13                    0                        0.08010926900838317
-0.13                    0.05                     0.16413435162814824
-0.13                    0.1                      0.11160604835619155
-0.13                    0.15000000000000002      0.07913396413696576
-0.13                    0.2                      0.057390458612925604
-0.13                    0.25                     0.0423791870368885
-0.13                    0.30000000000000004      0.032059366996602924
-0.13                    0.35000000000000003      0.02455178074831165
-0.13                    0.4                      0.018966348406523795
-0.13                    0.45000000000000007      0.014988129302478722
-0.13                    0.5                      0.012206310896422384
-0.13                    0.55                     0.009704350229109305
-0.13                    0.6000000000000001       0.007846420406673202
-0.13                    0.6500000000000001       0.006393014378891639
-0.13                    0.7000000000000001       0.0052381254605804815
-0.13                    0.75                     0.004429391043423631
-0.13                    0.8                      0.0038913448360037416
-0.13                    0.8500000000000001       0.0032982066861485526
-0.13                    0.9000000000000001       0.002757098053928597
-0.13                    0.9500000000000001       0.0024084194720313144
-0.13                    1                        0.0019817371586587267
-0.13                    1.05                     0.0017097747469768136
-0.13                    1.1                      0.0016435556250725403
-0.13                    1.1500000000000001       0.0012939847973162237
-0.13                    1.2000000000000002       0.0011000736608666561
-0.13                    1.25                     0.0011114145231273115
-0.13                    1.3000000000000003       9.514358574066657E-4
-0.13                    1.35                     0.0010038784797796237
-0.13                    1.4000000000000001       9.618638204060758E-4
-0.13                    1.4500000000000002       7.33673300818465E-4
0                        0                        0.08001176945752096
0                        0.05                     0.1641559329041427
0                        0.1                      0.11162784406947716
0                        0.15000000000000002      0.07915592622139038
0                        0.2                      0.05741255349499412
0                        0.25                     0.042401381016353726
0                        0.30000000000000004      0.03208161651616509
0                        0.35000000000000003      0.024574049225643754
0                        0.4                      0.018988616518288367
0                        0.45000000000000007      0.01501036190713172
0                        0.5                      0.012228487782367374
0                        0.55                     0.0097264522711423
0                        0.6000000000000001       0.007868422530650364
0                        0.6500000000000001       0.006414907739730759
0                        0.7000000000000001       0.005259900483633237
0                        0.75                     0.004451025906918277
0                        0.8                      0.003912825841386418
0                        0.8500000000000001       0.0033195314258862687
0                        0.9000000000000001       0.002778260002178073
0                        0.9500000000000001       0.0024294057387767333
0                        1                        0.002002547974799448
0                        1.05                     0.0017304081750052645
0                        1.1                      0.0016640015795869826
0                        1.1500000000000001       0.001314243241898219
0                        1.2000000000000002       0.0011201509071446887
0                        1.25                     0.001131295138973998
0                        1.3000000000000003       9.71131091564837E-4
0                        1.35                     0.001023385251634313
0                        1.4000000000000001       9.8118082134449E-4
0                        1.4500000000000002       7.528019088558673E-4
0.13                     0                        0.07991422917145569
0.13                     0.05                     0.1641775141821931
0.13                     0.1                      0.11164963978466948
0.13                     0.15000000000000002      0.0791778883077275
0.13                     0.2                      0.05743464837897044
0.13                     0.25                     0.04242357499762112
0.13                     0.30000000000000004      0.03210386603754016
0.13                     0.35000000000000003      0.024596317704779457
0.13                     0.4                      0.019010884631858363
0.13                     0.45000000000000007      0.015032594513510758
0.13                     0.5                      0.012250664670015355
0.13                     0.55                     0.009748554314853386
0.13                     0.6000000000000001       0.00789042465629996
0.13                     0.6500000000000001       0.006436801102205801
0.13                     0.7000000000000001       0.005281675508290962
0.13                     0.75                     0.004472660771965031
0.13                     0.8                      0.003934306848318722
0.13                     0.8500000000000001       0.00334085616712795
0.13                     0.9000000000000001       0.0027994219519137014
0.13                     0.9500000000000001       0.002450392006951762
0.13                     1                        0.0020233587923429797
0.13                     1.05                     0.0017510416044202522
0.13                     1.1                      0.00168444753546469
0.13                     1.1500000000000001       0.0013345016878044324
0.13                     1.2000000000000002       0.001140228154733268
0.13                     1.25                     0.001151175756093845
0.13                     1.3000000000000003       9.908263269902474E-4
0.13                     1.35                     0.0010428920247209862
0.13                     1.4000000000000001       0.0010004978234704706
0.13                     1.4500000000000002       7.719305180857784E-4
