% Model,COMSOL_Custom_Pin.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 14 2025, 11:59"
% Table,Table 1 - Global Evaluation 1
% Position (m),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,-0.0952125268892119
0,0,0.05651969734104721
0,0.4,0.1912305115816353
2.0E-4,-0.4,-0.09745829837554221
2.0E-4,0,0.07442060076231038
2.0E-4,0.4,0.21615558706602628
4.0E-4,-0.4,-0.0946322122927225
4.0E-4,0,0.03885069410695202
4.0E-4,0.4,0.175557285264828
6.000000000000001E-4,-0.4,-0.08973790091205885
6.000000000000001E-4,0,0.02105027985314857
6.000000000000001E-4,0.4,0.1484530177528669
8.0E-4,-0.4,-0.08572350256622825
8.0E-4,0,0.011853139046223385
8.0E-4,0.4,0.12689901248550317
0.001,-0.4,-0.08046551728841765
0.001,0,0.008099730859326498
0.001,0.4,0.11389136489077392
0.0012000000000000001,-0.4,-0.07521318687079669
0.0012000000000000001,0,0.006517252343939642
0.0012000000000000001,0.4,0.10600722561972388
0.0014,-0.4,-0.07016404193293062
0.0014,0,0.005835668311597181
0.0014,0.4,0.100325240558813
0.0016,-0.4,-0.0668671966222458
0.0016,0,0.00421646617379022
0.0016,0.4,0.09472480744880298
0.0018000000000000002,-0.4,-0.06582840651284233
0.0018000000000000002,0,8.888734574430124E-4
0.0018000000000000002,0.4,0.0878774258605872
0.002,-0.4,-0.05983361390714535
0.002,0,0.002858261607144752
0.002,0.4,0.08666361958740189
0.0022,-0.4,-0.0569238728340834
0.0022,0,0.0021679299327437285
0.0022,0.4,0.08296610784596468
0.0024000000000000002,-0.4,-0.05305726913374262
0.0024000000000000002,0,0.002568865816919619
0.0024000000000000002,0.4,0.0802837112732666
0.0026000000000000003,-0.4,-0.050205531858533395
0.0026000000000000003,0,0.002262134392276266
0.0026000000000000003,0.4,0.07693200668159865
0.0028,-0.4,-0.047209731069147984
0.0028,0,0.002101858203886045
0.0028,0.4,0.0734402393918948
0.003,-0.4,-0.04533557622836068
0.003,0,0.0011690383978316399
0.003,0.4,0.06934422037962669
0.0032,-0.4,-0.0419412382067591
0.0032,0,0.001860686229692099
0.0032,0.4,0.06671269230026254
0.0034000000000000002,-0.4,-0.039657866516687595
0.0034000000000000002,0,0.0015344969859431568
0.0034000000000000002,0.4,0.06292300858700874
0.0036000000000000003,-0.4,-0.03525367798520229
0.0036000000000000003,0,0.0034156863361974737
0.0036000000000000003,0.4,0.061236688054001745
0.0038,-0.4,-0.033185908566306016
0.0038,0,0.0030192721776331616
0.0038,0.4,0.05712856025487753
0.004,-0.4,-0.03168340316453708
0.004,0,0.0021608256782667257
0.004,0.4,0.05250965873837114
0.004200000000000001,-0.4,-0.02911781193564332
0.004200000000000001,0,0.0024131187977780577
0.004200000000000001,0.4,0.04895748989941867
0.0044,-0.4,-0.027249093661346716
0.0044,0,0.0019819747685609346
0.0044,0.4,0.044626492354674405
0.0046,-0.4,-0.025045080183727086
0.0046,0,0.0019438484711951504
0.0046,0.4,0.04071130987222038
0.0048000000000000004,-0.4,-0.02248199705925047
0.0048000000000000004,0,0.0022680000814838536
0.0048000000000000004,0.4,0.037153587370770125
0.005,-0.4,-0.01943363130993178
0.005,0,0.003053641223048062
0.005,0.4,0.034043816282243844
