% Model,COMSOL_Inductor11_Design2.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 5 2024, 16:05"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,0.05648420216820986
0,0,0
0,0.35,0.05648420216820943
0.05,-0.35,0.058532672506426936
0.05,0,0
0.05,0.35,0.05853267250642639
0.1,-0.35,0.059974529829582846
0.1,0,0
0.1,0.35,0.05997452982958255
0.15000000000000002,-0.35,0.06182840184739036
0.15000000000000002,0,0
0.15000000000000002,0.35,0.061828401847390586
0.2,-0.35,0.06356162113786186
0.2,0,0
0.2,0.35,0.06356162113786197
0.25,-0.35,0.06481691098445341
0.25,0,0
0.25,0.35,0.06481691098445339
0.30000000000000004,-0.35,0.06714867306241715
0.30000000000000004,0,0
0.30000000000000004,0.35,0.06714867306241688
0.35000000000000003,-0.35,0.0694932026041607
0.35000000000000003,0,0
0.35000000000000003,0.35,0.06949320260416052
0.4,-0.35,0.07242851077141979
0.4,0,0
0.4,0.35,0.07242851077141998
0.45000000000000007,-0.35,0.07438211062076179
0.45000000000000007,0,0
0.45000000000000007,0.35,0.07438211062076211
0.5,-0.35,0.0760586890558066
0.5,0,0
0.5,0.35,0.07605868905580664
0.55,-0.35,0.07910900195155307
0.55,0,0
0.55,0.35,0.07910900195155311
0.6000000000000001,-0.35,0.0816235007226487
0.6000000000000001,0,0
0.6000000000000001,0.35,0.08162350072264837
0.6500000000000001,-0.35,0.0826113297668577
0.6500000000000001,0,0
0.6500000000000001,0.35,0.08261132976685769
0.7000000000000001,-0.35,0.08493216396001728
0.7000000000000001,0,0
0.7000000000000001,0.35,0.08493216396001702
0.75,-0.35,0.08752917341726199
0.75,0,0
0.75,0.35,0.08752917341726232
0.8,-0.35,0.08815223252189479
0.8,0,0
0.8,0.35,0.088152232521894
0.8500000000000001,-0.35,0.0885309049103579
0.8500000000000001,0,0
0.8500000000000001,0.35,0.08853090491035884
0.9000000000000001,-0.35,0.08727898288895922
0.9000000000000001,0,0
0.9000000000000001,0.35,0.08727898288895992
0.9500000000000001,-0.35,0.08477725486659672
0.9500000000000001,0,0
0.9500000000000001,0.35,0.0847772548665969
1,-0.35,0.08446757024434522
1,0,0
1,0.35,0.0844675702443453
1.05,-0.35,0.07990873257424812
1.05,0,0
1.05,0.35,0.07990873257424819
1.1,-0.35,0.07733896821785147
1.1,0,0
1.1,0.35,0.07733896821785106
1.1500000000000001,-0.35,0.07291191907635178
1.1500000000000001,0,0
1.1500000000000001,0.35,0.07291191907635142
1.2000000000000002,-0.35,0.06868895741966684
1.2000000000000002,0,0
1.2000000000000002,0.35,0.06868895741966563
1.25,-0.35,0.062320284336281936
1.25,0,0
1.25,0.35,0.062320284336280014
1.3000000000000003,-0.35,0.05896058901199857
1.3000000000000003,0,0
1.3000000000000003,0.35,0.0589605890119985
1.35,-0.35,0.05252944740739783
1.35,0,0
1.35,0.35,0.052529447407397435
1.4000000000000001,-0.35,0.050870617028506204
1.4000000000000001,0,0
1.4000000000000001,0.35,0.050870617028505864
1.4500000000000002,-0.35,0.04545827442769637
1.4500000000000002,0,0
1.4500000000000002,0.35,0.045458274427696656
