% Model,COMSOL_Inductor11_Design2.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 16 2025, 10:47"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,0.010111116557337296
0,0,0
0,0.35,0.010111116557337322
0.05,-0.35,0.01024905046626057
0.05,0,0
0.05,0.35,0.010249050466260729
0.1,-0.35,0.010390712580566262
0.1,0,0
0.1,0.35,0.010390712580566279
0.15000000000000002,-0.35,0.010510629278566323
0.15000000000000002,0,0
0.15000000000000002,0.35,0.010510629278566339
0.2,-0.35,0.01062099248675426
0.2,0,0
0.2,0.35,0.010620992486754136
0.25,-0.35,0.010739317574419092
0.25,0,0
0.25,0.35,0.01073931757441917
0.30000000000000004,-0.35,0.010832904887195936
0.30000000000000004,0,0
0.30000000000000004,0.35,0.010832904887195807
0.35000000000000003,-0.35,0.010931193314661494
0.35000000000000003,0,0
0.35000000000000003,0.35,0.010931193314661608
0.4,-0.35,0.01099894456900193
0.4,0,0
0.4,0.35,0.010998944569001844
0.45000000000000007,-0.35,0.011057499621582097
0.45000000000000007,0,0
0.45000000000000007,0.35,0.011057499621582114
0.5,-0.35,0.011110775263927824
0.5,0,0
0.5,0.35,0.011110775263928029
0.55,-0.35,0.011161313042736636
0.55,0,0
0.55,0.35,0.011161313042736525
0.6000000000000001,-0.35,0.011188209045896763
0.6000000000000001,0,0
0.6000000000000001,0.35,0.011188209045897016
0.6500000000000001,-0.35,0.011182658806504611
0.6500000000000001,0,0
0.6500000000000001,0.35,0.011182658806504769
0.7000000000000001,-0.35,0.011183455358012786
0.7000000000000001,0,0
0.7000000000000001,0.35,0.011183455358013128
0.75,-0.35,0.01116757633340736
0.75,0,0
0.75,0.35,0.011167576333407448
0.8,-0.35,0.011115689427874584
0.8,0,0
0.8,0.35,0.011115689427874484
0.8500000000000001,-0.35,0.011071352606648972
0.8500000000000001,0,0
0.8500000000000001,0.35,0.011071352606648615
0.9000000000000001,-0.35,0.010970309646422196
0.9000000000000001,0,0
0.9000000000000001,0.35,0.010970309646422347
0.9500000000000001,-0.35,0.01085871290584258
0.9500000000000001,0,0
0.9500000000000001,0.35,0.010858712905842428
1,-0.35,0.01073195561407892
1,0,0
1,0.35,0.010731955614079108
1.05,-0.35,0.010596098650676452
1.05,0,0
1.05,0.35,0.010596098650676468
1.1,-0.35,0.010424326274556738
1.1,0,0
1.1,0.35,0.010424326274557107
1.1500000000000001,-0.35,0.010207743590619045
1.1500000000000001,0,0
1.1500000000000001,0.35,0.010207743590619014
1.2000000000000002,-0.35,0.009977945289601275
1.2000000000000002,0,0
1.2000000000000002,0.35,0.009977945289601187
1.25,-0.35,0.00971790013037074
1.25,0,0
1.25,0.35,0.009717900130370685
1.3000000000000003,-0.35,0.00942660119520754
1.3000000000000003,0,0
1.3000000000000003,0.35,0.009426601195207744
1.35,-0.35,0.009122087442093746
1.35,0,0
1.35,0.35,0.009122087442093758
1.4000000000000001,-0.35,0.00877479032417808
1.4000000000000001,0,0
1.4000000000000001,0.35,0.008774790324177958
1.4500000000000002,-0.35,0.00839001907980107
1.4500000000000002,0,0
1.4500000000000002,0.35,0.008390019079801015
