% Model,COMSOL_Inductor12_BigMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 12:57"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,-0.3282112229709545
0,0,-0.30343423855935836
0,0.4,-0.27896357387966964
0.05,-0.4,0.6928457072067036
0.05,0,0.7231289497788534
0.05,0.4,0.7529131573623505
0.1,-0.4,0.6789276502575643
0.1,0,0.7085072745328194
0.1,0.4,0.7376468002856408
0.15000000000000002,-0.4,0.6669860149907938
0.15000000000000002,0,0.6959692228831439
0.15000000000000002,0.4,0.7243909297430535
0.2,-0.4,0.6590969447761017
0.2,0,0.6873795514448017
0.2,0.4,0.7151644303566489
0.25,-0.4,0.6519929136711766
0.25,0,0.6796144316323214
0.25,0.4,0.7067192614053546
0.30000000000000004,-0.4,0.6401774845404355
0.30000000000000004,0,0.6671199835752036
0.30000000000000004,0.4,0.6935152236064006
0.35000000000000003,-0.4,0.6235114175148687
0.35000000000000003,0,0.6497589501031437
0.35000000000000003,0.4,0.6754729085153681
0.4,-0.4,0.6059143109114444
0.4,0,0.6314881169331343
0.4,0.4,0.6565300650077099
0.45000000000000007,-0.4,0.5908851743511235
0.45000000000000007,0,0.615753497516196
0.45000000000000007,0.4,0.6401284846397407
0.5,-0.4,0.5793498247830736
0.5,0,0.6035717018296225
0.5,0.4,0.6273042290536645
0.55,-0.4,0.5659394413549752
0.55,0,0.5895279794991237
0.55,0.4,0.612524376146925
0.6000000000000001,-0.4,0.5415268861648148
0.6000000000000001,0,0.5644916714738822
0.6000000000000001,0.4,0.5868315620020791
0.6500000000000001,-0.4,0.5260471226167994
0.6500000000000001,0,0.5483893443919038
0.6500000000000001,0.4,0.5701152332172092
0.7000000000000001,-0.4,0.5149809428720759
0.7000000000000001,0,0.5366631880039275
0.7000000000000001,0.4,0.5578154774216671
0.75,-0.4,0.49256640396631324
0.75,0,0.5136935549662686
0.75,0.4,0.5342575030954447
0.8,-0.4,0.47623033668703807
0.8,0,0.4968255676252773
0.8,0.4,0.5168549453757765
0.8500000000000001,-0.4,0.4600891793157305
0.8500000000000001,0,0.480086456897195
0.8500000000000001,0.4,0.49951605914904107
0.9000000000000001,-0.4,0.4434661750778106
0.9000000000000001,0,0.4628490440486602
0.9000000000000001,0.4,0.48160558412846743
0.9500000000000001,-0.4,0.42141613671344746
0.9500000000000001,0,0.4402056030416706
0.9500000000000001,0.4,0.45830864154316253
1,-0.4,0.405919747432673
1,0,0.4240988138719803
1,0.4,0.4415624741741749
1.05,-0.4,0.38783527456264083
1.05,0,0.40546048741943364
1.05,0.4,0.4223965431841289
1.1,-0.4,0.36573419302605437
1.1,0,0.3829244188234445
1.1,0.4,0.3993317413960437
1.1500000000000001,-0.4,0.35326442009474285
1.1500000000000001,0,0.36998825662860013
1.1500000000000001,0.4,0.38592348811897076
1.2000000000000002,-0.4,0.34180657146610144
1.2000000000000002,0,0.35813191565750097
1.2000000000000002,0.4,0.37363783678889734
1.25,-0.4,0.32186402596674185
1.25,0,0.3377885485109119
1.25,0.4,0.3528206891497006
1.3000000000000003,-0.4,0.3069190858345531
1.3000000000000003,0,0.32245712702854507
1.3000000000000003,0.4,0.33709071561258186
1.35,-0.4,0.2979456316204859
1.35,0,0.31311950364870034
1.35,0.4,0.32736965754889
1.4000000000000001,-0.4,0.2757198277583526
1.4000000000000001,0,0.2905184498721956
1.4000000000000001,0.4,0.30441251020533255
1.4500000000000002,-0.4,0.2644555516706311
1.4500000000000002,0,0.2788862586281836
1.4500000000000002,0.4,0.29245147769264923
