% Model,COMSOL_Inductor12_MagnetSweep.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 16 2025, 13:05"
% Table,Table 1 - Global Evaluation 1
% Magnet_Height (mm),Magnet_Diameter (mm),Current (A),"Electromagnetic force, z component (N)"
0.5,1,0,0.1319171682884866
0.5,1,-0.4,0.13245977298556955
0.5,1.5,0,0.2786481038609353
0.5,1.5,-0.4,0.27566092588311014
0.5,2,0,0.44888112563225435
0.5,2,-0.4,0.4324164236551892
0.5,2.5,0,0.6369322462158044
0.5,2.5,-0.4,0.6028353720343916
0.5,3,0,0.8231778477055062
0.5,3,-0.4,0.77475042508005
0.5,3.5,0,0.9777187925997957
0.5,3.5,-0.4,0.9346512167684746
0.5,4,0,1.0017990693849799
0.5,4,-0.4,0.9762140513512613
0.5,4.500000000000001,0,0.7706537307458932
0.5,4.500000000000001,-0.4,0.7518645104638445
1,1,0,0.1823430830119162
1,1,-0.4,0.1821380559403777
1,1.5,0,0.4071908813989553
1,1.5,-0.4,0.4004414501308073
1,2,0,0.685211670762967
1,2,-0.4,0.6618684527538099
1,2.5,0,0.9930316421625285
1,2.5,-0.4,0.9559763221388359
1,3,0,1.257703223598257
1,3,-0.4,1.2350250412896935
1,3.5,0,1.4537951958549031
1,3.5,-0.4,1.4264877636065725
1,4,0,1.5034154681849698
1,4,-0.4,1.4726565744688251
1,4.500000000000001,0,1.2802204344469745
1,4.500000000000001,-0.4,1.2485026675493855
1.5,1,0,0.20136664601032409
1.5,1,-0.4,0.20022360458455868
1.5,1.5,0,0.46521858704780394
1.5,1.5,-0.4,0.4570332363352125
1.5,2,0,0.8036955681449857
1.5,2,-0.4,0.7793982629968099
1.5,2.5,0,1.1619237498820683
1.5,2.5,-0.4,1.1401389013836516
1.5,3,0,1.4707491797091419
1.5,3,-0.4,1.445670698989291
1.5,3.5,0,1.7031635414670045
1.5,3.5,-0.4,1.6714788614909795
1.5,4,0,1.7846751335079414
1.5,4,-0.4,1.7498354692221154
1.5,4.500000000000001,0,1.5851778055118835
1.5,4.500000000000001,-0.4,1.5490024285847992
2,1,0,0.2103249238701705
2,1,-0.4,0.20830913522076935
2,1.5,0,0.49539347961379127
2,1.5,-0.4,0.48649784082771835
2,2,0,0.8644126255969612
2,2,-0.4,0.8417163463044635
