% Model,COMSOL_Inductor12_MediumMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 13:07"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.4743734719326706
0,0,0.49747130750010277
0,0.4,0.496547040867845
0.05,-0.4,0.6618684527538108
0.05,0,0.6852116707629686
0.05,0.4,0.6853581356414288
0.1,-0.4,0.5784788240845153
0.1,0,0.5980573491444232
0.1,0.4,0.5986409708562677
0.15000000000000002,-0.4,0.5084333133823711
0.15000000000000002,0,0.5246968810321204
0.15000000000000002,0.4,0.5257830353168701
0.2,-0.4,0.446604600546005
0.2,0,0.460071279908711
0.2,0.4,0.4616589107083747
0.25,-0.4,0.3926596932053928
0.25,0,0.4038881784564875
0.25,0.4,0.4059608117167564
0.30000000000000004,-0.4,0.345445110182544
0.30000000000000004,0,0.35514153583175023
0.30000000000000004,0.4,0.35767007289319663
0.35000000000000003,-0.4,0.3041411003111916
0.35000000000000003,0,0.31320407709955006
0.35000000000000003,0.4,0.31613816087255103
0.4,-0.4,0.2647360560742369
0.4,0,0.27357012309373024
0.4,0.4,0.276892470520144
0.45000000000000007,-0.4,0.23146435205252763
0.45000000000000007,0,0.2402841294838651
0.45000000000000007,0.4,0.24396115644396277
0.5,-0.4,0.20188271619439133
0.5,0,0.21083896645318723
0.5,0.4,0.21482683688027376
0.55,-0.4,0.17591209704999072
0.55,0,0.18505747328387748
0.55,0.4,0.1893176258972501
0.6000000000000001,-0.4,0.15162478379226166
0.6000000000000001,0,0.16092367686549938
0.6000000000000001,0.4,0.16540826545338785
0.6500000000000001,-0.4,0.13112124951206178
0.6500000000000001,0,0.1405527911035451
0.6500000000000001,0.4,0.145229184471426
0.7000000000000001,-0.4,0.11365771164004684
0.7000000000000001,0,0.12314298458701108
0.7000000000000001,0.4,0.1279691665147857
0.75,-0.4,0.09731047977243193
0.75,0,0.10679323813029522
0.75,0.4,0.11173144171383052
0.8,-0.4,0.08415917075049095
0.8,0,0.09359662175186333
0.8,0.4,0.09861148416923665
0.8500000000000001,-0.4,0.07207342773004904
0.8500000000000001,0,0.08144351819818521
0.8500000000000001,0.4,0.08651981768721413
0.9000000000000001,-0.4,0.06273033806639884
0.9000000000000001,0,0.07201068430724177
0.9000000000000001,0.4,0.07713213858178336
0.9500000000000001,-0.4,0.0544504340778081
0.9500000000000001,0,0.0636302488005355
0.9500000000000001,0.4,0.06878694887677202
1,-0.4,0.04712152763358075
1,0,0.0561873292175852
1,0.4,0.0613687276484447
1.05,-0.4,0.04096014965828954
1.05,0,0.04990104531888552
1.05,0.4,0.05509721004332027
1.1,-0.4,0.036847496571106315
1.1,0,0.04565563593395573
1.1,0.4,0.05085784387796611
1.1500000000000001,-0.4,0.030920578649007907
1.1500000000000001,0,0.03958904453638426
1.1500000000000001,0.4,0.04478910934990597
1.2000000000000002,-0.4,0.026908079543681525
1.2000000000000002,0,0.03542918838710352
1.2000000000000002,0.4,0.04061838602712459
1.25,-0.4,0.023793454537401934
1.25,0,0.03216095128670817
1.25,0.4,0.03733128343156114
1.3000000000000003,-0.4,0.020989123235264643
1.3000000000000003,0,0.029197610477377945
1.3000000000000003,0.4,0.034341780733850746
1.35,-0.4,0.017998086837884418
1.35,0,0.02604395866070187
1.35,0.4,0.031155765420534953
1.4000000000000001,-0.4,0.015534076662938393
1.4000000000000001,0,0.023413485728141663
1.4000000000000001,0.4,0.028486545210470768
1.4500000000000002,-0.4,0.012494947655319244
1.4500000000000002,0,0.020206471918078683
1.4500000000000002,0.4,0.025235754726883892
