% Model,COMSOL_Inductor12x2_Magnet3x4.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 7 2025, 17:02"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,1.0246353297358157
0,0,1.0614721571601617
0,0.4,1.091546732716165
0.05,-0.4,1.731219708624598
0.05,0,1.7715319603749335
0.05,0.4,1.8036350184835215
0.1,-0.4,1.594783036210862
0.1,0,1.633546549663201
0.1,0.4,1.663724763879824
0.15000000000000002,-0.4,1.4725426858521624
0.15000000000000002,0,1.5098185250654363
0.15000000000000002,0.4,1.5382133045684894
0.2,-0.4,1.3624267537314296
0.2,0,1.3984154907829525
0.2,0.4,1.42518242604079
0.25,-0.4,1.2650529448142287
0.25,0,1.2998964494373042
0.25,0.4,1.3251501353826922
0.30000000000000004,-0.4,1.1715345699604995
0.30000000000000004,0,1.2052540983339797
0.30000000000000004,0.4,1.229069127593323
0.35000000000000003,-0.4,1.0899509033115466
0.35000000000000003,0,1.1224552758520472
0.35000000000000003,0.4,1.1448408152371286
0.4,-0.4,1.0134481620864446
0.4,0,1.0445888410584305
0.4,0.4,1.065462401104151
0.45000000000000007,-0.4,0.9391465301369277
0.45000000000000007,0,0.9686960710702036
0.45000000000000007,0.4,0.987747096990373
0.5,-0.4,0.8764277846848133
0.5,0,0.9039068353649855
0.5,0.4,0.920338107308502
0.55,-0.4,0.8110601550136926
0.55,0,0.8356327036121489
0.55,0.4,0.8505336569383355
0.6000000000000001,-0.4,0.7489609696987466
0.6000000000000001,0,0.7718056578963727
0.6000000000000001,0.4,0.7857614532178967
0.6500000000000001,-0.4,0.692489783025254
0.6500000000000001,0,0.7143241667165301
0.6500000000000001,0.4,0.7276434556749491
0.7000000000000001,-0.4,0.6423979956166657
0.7000000000000001,0,0.6635807735757495
0.7000000000000001,0.4,0.6765148016541355
0.75,-0.4,0.5939105910948055
0.75,0,0.6147469498793603
0.75,0.4,0.6274567347529607
0.8,-0.4,0.5448724528479407
0.8,0,0.5655241831881814
0.8,0.4,0.57805111311996
0.8500000000000001,-0.4,0.5004523804260976
0.8500000000000001,0,0.5209961676741772
0.8500000000000001,0.4,0.5333845908621864
0.9000000000000001,-0.4,0.462228361197383
0.9000000000000001,0,0.48267026441682415
0.9000000000000001,0.4,0.4949318264094953
0.9500000000000001,-0.4,0.4266070731022557
0.9500000000000001,0,0.4469420587960875
0.9500000000000001,0.4,0.45908902642441896
1,-0.4,0.3943370320180472
1,0,0.4145498077239692
1,0.4,0.4265779171000769
1.05,-0.4,0.35909592476056273
1.05,0,0.3791716646478194
1.05,0.4,0.3910593417979267
1.1,-0.4,0.330085645291749
1.1,0,0.35000139433831995
1.1,0.4,0.36174597656467294
1.1500000000000001,-0.4,0.30544746110027343
1.1500000000000001,0,0.3251985792374762
1.1500000000000001,0.4,0.3367907046675027
1.2000000000000002,-0.4,0.28235938823357415
1.2000000000000002,0,0.30191770926120864
1.2000000000000002,0.4,0.31334398393936963
1.25,-0.4,0.2589070155976573
1.25,0,0.27827607773261104
1.25,0.4,0.2895296922846923
1.3000000000000003,-0.4,0.23956822797520685
1.3000000000000003,0,0.25873909121819594
1.3000000000000003,0.4,0.26980936184325577
1.35,-0.4,0.2183451303130934
1.35,0,0.23735143448951765
1.35,0.4,0.24822828251392134
1.4000000000000001,-0.4,0.2015948151288808
1.4000000000000001,0,0.22047763886405936
1.4000000000000001,0.4,0.23115482022705364
1.4500000000000002,-0.4,0.1853258733235585
1.4500000000000002,0,0.20418127800005623
1.4500000000000002,0.4,0.21465475678580692
