% Model,COMSOL_Inductor25_RingMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 3 2025, 18:06"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.012623767107456607
0,0,1.307858924360361E-4
0,0.4,-0.01237546420071678
0.05,-0.4,0.010495675887662426
0.05,0,-0.0020049390621939
0.05,0.4,-0.014515971008270956
0.1,-0.4,0.012172414307013768
0.1,0,-3.113114794793814E-4
0.1,0.4,-0.01281033587595981
0.15000000000000002,-0.4,0.013203498115017365
0.15000000000000002,0,7.277595491312905E-4
0.15000000000000002,0.4,-0.011759129637785137
0.2,-0.4,0.01198137881641742
0.2,0,-4.7943538303957256E-4
0.2,0.4,-0.012953979932634196
0.25,-0.4,0.012572788771438304
0.25,0,1.3196065300397075E-4
0.25,0.4,-0.012324988323737296
0.30000000000000004,-0.4,0.011397913329889986
0.30000000000000004,0,-0.0010263064992603321
0.30000000000000004,0.4,-0.01346204987165256
0.35000000000000003,-0.4,0.011510840982868142
0.35000000000000003,0,-8.711201352678555E-4
0.35000000000000003,0.4,-0.013271519980618096
0.4,-0.4,0.011248262540161647
0.4,0,-0.0010917895658464905
0.4,0.4,-0.01345028176265145
0.45000000000000007,-0.4,0.011702696401928558
0.45000000000000007,0,-5.881527918796259E-4
0.45000000000000007,0.4,-0.012899081938569257
0.5,-0.4,0.012162373112437674
0.5,0,-6.0697764455219794E-5
0.5,0.4,-0.012303950283040155
0.55,-0.4,0.011792690161312236
0.55,0,-3.673743173124855E-4
0.55,0.4,-0.012547469219896301
0.6000000000000001,-0.4,0.010352186395697793
0.6000000000000001,0,-0.001717182709364773
0.6000000000000001,0.4,-0.01380744194445499
0.6500000000000001,-0.4,0.011383391045637903
0.6500000000000001,0,-5.91076702172677E-4
0.6500000000000001,0.4,-0.012585133860347486
0.7000000000000001,-0.4,0.012903527282319194
0.7000000000000001,0,0.0010431770518879446
0.7000000000000001,0.4,-0.01083870735031689
0.75,-0.4,0.010741301191494246
0.75,0,-9.918313513946897E-4
0.75,0.4,-0.012742895813241284
0.8,-0.4,0.010910711124353878
0.8,0,-6.732234925566627E-4
0.8,0.4,-0.012273392429510921
0.8500000000000001,-0.4,0.012381187884825562
0.8500000000000001,0,9.682953125106919E-4
0.8500000000000001,0.4,-0.010465803751818215
0.9000000000000001,-0.4,0.012764275612516307
0.9000000000000001,0,0.0015449232610240116
0.9000000000000001,0.4,-0.009695486089629168
0.9500000000000001,-0.4,0.011584010201312667
0.9500000000000001,0,5.713470643112228E-4
0.9500000000000001,0.4,-0.010463224770582369
1,-0.4,0.01070590287184825
1,0,-6.918033538322321E-5
1,0.4,-0.010866821528114579
1.05,-0.4,0.01110333237938066
1.05,0,5.894631077051904E-4
1.05,0.4,-0.00994683016378678
1.1,-0.4,0.01146401881171627
1.1,0,0.0012352741889323227
1.1,0.4,-0.009016364810887745
1.1500000000000001,-0.4,0.010129320474132342
1.1500000000000001,0,2.0485552385829386E-4
1.1500000000000001,0.4,-0.009742231594969342
1.2000000000000002,-0.4,0.00884033739118284
1.2000000000000002,0,-7.454879840022022E-4
1.2000000000000002,0.4,-0.010356280586398425
1.25,-0.4,0.010061263170388912
1.25,0,8.371997982108415E-4
1.25,0.4,-0.008411855568960402
1.3000000000000003,-0.4,0.008369602847606517
1.3000000000000003,0,-4.7180309707473E-4
1.3000000000000003,0.4,-0.00933558581657773
1.35,-0.4,0.009180104376597276
1.35,0,7.470485380449143E-4
1.35,0.4,-0.007711464487511199
1.4000000000000001,-0.4,0.008717796852102389
1.4000000000000001,0,7.185046122169525E-4
1.4000000000000001,0.4,-0.007305239613677905
1.4500000000000002,-0.4,0.006841912111157422
1.4500000000000002,0,-7.051728246417199E-4
1.4500000000000002,0.4,-0.008272687338951368
