% Model,COMSOL_Inductor31_Magnet3x4.mph
% Version,COMSOL 6.2.0.290
% Date,"Mar 13 2025, 10:22"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.768154246574378
0,0,0.8048688847244123
0,0.4,0.8406212722248578
0.2,-0.4,1.3587389079287804
0.2,0,1.3940447102401177
0.2,0.4,1.4280575042402892
0.4,-0.4,1.0442073714204771
0.4,0,1.0739696666699765
0.4,0.4,1.1019730582054708
0.6000000000000001,-0.4,0.8091486893425494
0.6000000000000001,0,0.8338904768590903
0.6000000000000001,0.4,0.8573507402773383
0.8,-0.4,0.6243573866596878
0.8,0,0.643265878900206
0.8,0.4,0.658785697461187
1,-0.4,0.4699245397646636
1,0,0.48177903466080657
1,0.4,0.4921872447341496
1.2000000000000002,-0.4,0.3409190664267163
1.2000000000000002,0,0.3529112910161874
1.2000000000000002,0.4,0.36203302490356415
1.4000000000000001,-0.4,0.24458915710813758
1.4000000000000001,0,0.2593184371843481
1.4000000000000001,0.4,0.2676078911985604
1.6,-0.4,0.17149616638491785
1.6,0,0.19073094318089648
1.6,0.4,0.1981645778337648
1.8000000000000003,-0.4,0.12096090570360654
1.8000000000000003,0,0.14367138627220435
1.8000000000000003,0.4,0.1503549169551188
2,-0.4,0.085324396093347
2,0,0.10985506082375689
2,0.4,0.1159389670108462
2.2,-0.4,0.059291696825344395
2.2,0,0.08402312562400535
2.2,0.4,0.0898818481522076
2.4000000000000004,-0.4,0.0440934345992306
2.4000000000000004,0,0.06803990761123059
2.4000000000000004,0.4,0.0737846370169928
2.6000000000000005,-0.4,0.0326518682463504
2.6000000000000005,0,0.05518848831914334
2.6000000000000005,0.4,0.0608663991419337
2.8000000000000003,-0.4,0.024739732503594777
2.8000000000000003,0,0.045334347541677415
2.8000000000000003,0.4,0.05108595014444013
3,-0.4,0.02209349243568107
3,0,0.04044017774779816
3,0.4,0.04633408516921933
3.2,-0.4,0.02128593779420487
3.2,0,0.037391114925547066
3.2,0.4,0.04330450521553144
3.4000000000000004,-0.4,0.02183664388049777
3.4000000000000004,0,0.035791009811472374
3.4000000000000004,0.4,0.04159398314068672
3.6000000000000005,-0.4,0.02648831085710533
3.6000000000000005,0,0.038500646274759215
3.6000000000000005,0.4,0.04405281531940973
3.8000000000000003,-0.4,0.0307387153809517
3.8000000000000003,0,0.04100088462564745
3.8000000000000003,0.4,0.046208907014645584
4,-0.4,0.038488013574096175
4,0,0.047208799870171424
4,0.4,0.052004865106017116
4.2,-0.4,0.045150165505930914
4.2,0,0.05252456504548752
4.2,0.4,0.05687416002374292
4.4,-0.4,0.054933127698284547
4.4,0,0.06114687310069662
4.4,0.4,0.06503887842000125
4.6000000000000005,-0.4,0.06447644397403715
4.6000000000000005,0,0.06969506085335084
4.6000000000000005,0.4,0.07313572363037169
4.800000000000001,-0.4,0.0737018615952801
4.800000000000001,0,0.0780678985254657
4.800000000000001,0.4,0.08107477048873676
5,-0.4,0.08323931165077611
5,0,0.08687761107380254
5,0.4,0.08947642677931537
