% Model,COMSOL_Inductor32_Magnet3x4_Design8.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 11 2025, 14:17"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,0.10654550111952132
0,0,-0.8961948972439278
0,3.85,-1.2879968967915525
0.25,-3.85,-0.3532798550943488
0.25,0,-1.388903529107275
0.25,3.85,-1.7383060680962155
0.5,-3.85,-0.12047491041902829
0.5,0,-1.0257138572182287
0.5,3.85,-1.2626666417422734
0.75,-3.85,0.01231999658441229
0.75,0,-0.7606595361020523
0.75,3.85,-0.9091182988047415
1,-3.85,0.08260350468618026
1,0,-0.5428031653262129
1,3.85,-0.659280706214951
1.25,-3.85,0.1138899140387604
1.25,0,-0.37872483457403044
1.25,3.85,-0.4833276089652457
1.5,-3.85,0.12435793060982611
1.5,0,-0.26502579274887134
1.5,3.85,-0.3619074785615403
1.75,-3.85,0.12165862064407064
1.75,0,-0.19187809685067653
1.75,3.85,-0.2830965167154082
2,-3.85,0.11706008704695185
2,0,-0.140113392334488
2,3.85,-0.22531868299095129
2.2500000000000004,-3.85,0.10752647487853731
2.2500000000000004,0,-0.10610765695021905
2.2500000000000004,3.85,-0.18522159276376285
2.5,-3.85,0.09767050324198405
2.5,0,-0.08147546677110085
2.5,3.85,-0.15443100540232746
2.75,-3.85,0.08813354186652211
2.75,0,-0.06303469590988275
2.75,3.85,-0.1300105725541441
3,-3.85,0.08081528310336793
3,0,-0.047043804054845255
3,3.85,-0.1085455015775983
3.2500000000000004,-3.85,0.07203059649166853
3.2500000000000004,0,-0.0361611270379897
3.2500000000000004,3.85,-0.09271267562394651
3.5,-3.85,0.06292176866299148
3.5,0,-0.028791769251961464
3.5,3.85,-0.08059359939237955
3.75,-3.85,0.05566150816559373
3.75,0,-0.022246561954485093
3.75,3.85,-0.06950506354774365
4,-3.85,0.050529642151371464
4,0,-0.01584832091248263
4,3.85,-0.058734529272071505
4.25,-3.85,0.04438271124251823
4.25,0,-0.01230201451867639
4.25,3.85,-0.051033192374190475
4.500000000000001,-3.85,0.038511035116100927
4.500000000000001,0,-0.0100290818728631
4.500000000000001,3.85,-0.04484766609946217
4.75,-3.85,0.032529800179750545
4.75,0,-0.009125220341591404
4.75,3.85,-0.040298946749551375
5,-3.85,0.03054843048790309
5,0,-0.00528458595875746
5,3.85,-0.03310899838222989
5.25,-3.85,0.025886643143540014
5.25,0,-0.004996245639089573
5.25,3.85,-0.029759591676798147
5.5,-3.85,0.02371325501794061
5.5,0,-0.002940425564997377
5.5,3.85,-0.024919711370698743
5.75,-3.85,0.020691081815895386
5.75,0,-0.002350501369601796
5.75,3.85,-0.021819573642532057
6,-3.85,0.0179046690038925
6,0,-0.002039876287659605
6,3.85,-0.01925246496780236
