% Model,EM_Reluctance.mph
% Version,COMSOL 6.2.0.290
% Date,"Aug 27 2024, 15:02"
% Table,Table 1 - Global Evaluation 1
% Gap,Current1,Current2,mf.Forcez_MagnetForce1+mf.Forcez_MagnetForce2 (N)
0,-0.13,-0.13,3.830035894931069E-4
0,-0.13,0,4.973472524737013E-5
0,-0.13,0.13,1.6124031726593764E-4
0,0,-0.13,2.2238657134058696E-4
0,0,0,0
0,0,0.13,2.223865712375273E-4
0,0.13,-0.13,1.6124031715860493E-4
0,0.13,0,4.973472523542517E-5
0,0.13,0.13,3.830035897998049E-4
0.005,-0.13,-0.13,-0.0021383322319283985
0.005,-0.13,0,4.065075738739616E-5
0.005,-0.13,0.13,-0.0017607333716529465
0.005,0,-0.13,-0.0019901867555181607
0.005,0,0,0
0.005,0,0.13,-0.001990186755473131
0.005,0.13,-0.13,-0.001760733372010235
0.005,0.13,0,4.0650757314277734E-5
0.005,0.13,0.13,-0.0021383322287710786
0.01,-0.13,-0.13,-0.0018389349825964597
0.01,-0.13,0,4.331538314648134E-5
0.01,-0.13,0.13,-0.0015152394958521482
0.01,0,-0.13,-0.001720404591851624
0.01,0,0,0
0.01,0,0.13,-0.0017204045923954903
0.01,0.13,-0.13,-0.0015152394963422239
0.01,0.13,0,4.3315383164719E-5
0.01,0.13,0.13,-0.0018389349864808481
0.015,-0.13,-0.13,-0.0016413197077634163
0.015,-0.13,0,4.503536748164333E-5
0.015,-0.13,0.13,-0.0013502936207911039
0.015,0,-0.13,-0.0015408414493733155
0.015,0,0,0
0.015,0,0.13,-0.0015408414500408085
0.015,0.13,-0.13,-0.001350293621063025
0.015,0.13,0,4.503536747829106E-5
0.015,0.13,0.13,-0.0016413197071125137
0.02,-0.13,-0.13,-0.0014515558149218845
0.02,-0.13,0,4.832169309205717E-5
0.02,-0.13,0.13,-0.0011969617108347676
0.02,0,-0.13,-0.001372579234338391
0.02,0,0,0
0.02,0,0.13,-0.0013725792345229632
0.02,0.13,-0.13,-0.001196961709965995
0.02,0.13,0,4.8321693120945926E-5
0.02,0.13,0.13,-0.0014515558146266205
0.025,-0.13,-0.13,-0.001300926343846972
0.025,-0.13,0,4.914104995009334E-5
0.025,-0.13,0.13,-0.001072065863202451
0.025,0,-0.13,-0.001235637611487058
0.025,0,0,0
0.025,0,0.13,-0.001235637611870587
0.025,0.13,-0.13,-0.0010720658632770025
0.025,0.13,0,4.914104996590338E-5
0.025,0.13,0.13,-0.0013009263445072645
